stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,36.78,447.46,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,49.95,15.77,0,78.86,0,0,10.51,0,0,0,0,0,273.39,0,0,0,0,0,0,0,0,0,0,0,617.75,13.14,0,0,55.2,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,59.79,0,9.44,25.18,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,1054.23,12.59,0,0,47.2,0,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,1,0,0,2,244,4,1,0,11,0,0,3,1,0,0,4,0,0,1,0,7,1,0,2,21,3,2,0,3,0,26,1,3,0,4,2,0,0,0,0
 24-34,0,0,0,0,166.63,0.82,0.82,0,36.94,0,0.82,1.64,0,0.82,0.82,6.57,0,2.46,0.82,0,3.28,4.93,0,0,27.91,1.64,12.31,2.46,0,0.82,44.33,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,62.84,2.42,2.42,0,22.56,0,0.81,1.61,0,0,0,1.61,0,1.61,0,0,2.42,4.83,0,1.61,20.14,0,8.06,2.42,0,0,18.53,0.81,0,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,45.33,1.72,3.44,0,36.72,0,1.15,1.72,1.72,0,0,0,0,2.87,0,0.57,2.87,8.03,0,0,22.95,0,7.46,1.72,0,0,22.95,0,0,0,0,4.02,0,0.57,0,0
 60-70,0,0,0,0,93.24,0,3.93,0.98,48.09,0.98,2.94,4.91,0.98,0,0,0.98,0,3.93,0.98,0,3.93,7.85,0,0.98,19.63,0,4.91,2.94,0,0,24.54,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0,121.73,0.98,5.89,0,55.95,0,3.93,12.76,0,0,0,5.89,0.98,4.91,1.96,0,5.89,10.8,0,1.96,19.63,0,7.85,3.93,0,0,31.41,0,0,0,0,0.98,17.67,1.96,0,0
 84-94,0,0,1.06,0,275.07,2.12,7.43,0,117.89,0,5.31,48.85,1.06,0,1.06,10.62,0,6.37,7.43,0,7.43,12.74,0,2.12,7.43,0,14.87,1.06,0,0,89.21,0,0,0,0,0,104.08,2.12,0,0
 96-106,0,0,0,0,268.84,3.28,6.56,0,96.17,0,1.09,45.9,0,0,1.09,10.93,0,13.11,5.46,0,5.46,10.93,0,1.09,22.95,0,29.51,4.37,0,0,69.94,0,0,0,0,1.09,140.98,1.09,0,0
108-118,0,0,0,0,274.98,0,6.89,0,134.04,0,3.06,61.28,0,0,2.3,13.02,0,11.49,6.89,0,4.6,11.49,0.77,1.53,15.32,0,15.32,6.13,0,0,71.23,0,0,1.53,0,0.77,144.77,2.3,0.77,0.77
120,1.96,0,0,0,231.25,0,7.84,0,88.19,0,1.96,29.4,0,0,7.84,9.8,0,11.76,1.96,0,9.8,7.84,0,3.92,7.84,0,3.92,0,0,0,48.99,0,0,0,0,0,48.99,0,0,1.96
