stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,mucous,neural,otic,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,2,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,3.22,0,0,0,0.81
 48-58,0,0.57,0,3.44,0.57,0,0,0,2.3,0,0,0,0.57
 60-70,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,2.12,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,1.53,0,0,0.77,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
