stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,2,4,0,0,0,0,0,0,0,4,0,41,1,0,0,1,0,3,0,5,11,0,0,0
 24-34,0,0,0,0,1.64,0,4.1,0,1.64,0,0,0.82,0,0,0.82,0,43.51,0,0,0,0,0.82,0,0,0,3.28,0,0.82,0
 36-46,0,0,0,0,0.81,0,29.81,0,6.45,0,0,0,0.81,0,2.42,3.22,105.54,0,0.81,0,0,0,0,0,0,21.75,0,0.81,0
 48-58,0,0,0,0,1.72,0,22.95,0,3.44,0.57,0,0,0,0,1.72,0,37.3,0,0,0,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,0,0,47.11,0,14.72,0,0,0,0,0,6.87,0.98,40.24,0,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,0,0,14.72,0,5.89,0,0.98,0,0,0,5.89,1.96,17.67,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,2.12,18.05,0,6.37,0,0,0,0,0,3.19,3.19,16.99,0,0,1.06,0,0,0,1.06,0,3.19,0,2.12,0
 96-106,0,0,1.09,0,0,1.09,12.02,0,6.56,1.09,0,0,0,0,7.65,1.09,12.02,0,2.19,2.19,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,2.3,9.19,0.77,9.96,0,0,0.77,0,0,2.3,1.53,26.81,0,2.3,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,7.84,0,11.76,0,1.96,0,0,3.92,0,0,27.44,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96
