stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,2,1,0,0,1,0,1,2,0,1,12,0,0,0,0,0,2,4,4,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,2.46,0,1.64,16.42,0,0,0,0,0.82,0,0.82,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,11.28,0,0.81,0,0,0,0,0,4.03,0,0.81
 48-58,0,0,0,0,2.87,0.57,0.57,2.87,0,0.57,3.44,0,0,24.1,0,0,0,0,0,0,0,4.59,0,0.57
 60-70,0,0,0,0,6.87,0,0,2.94,0,0,0.98,0,0,36.32,0,0,0,0,0,0,0,4.91,0.98,0
 72-82,0,0,0,0,7.85,0,0,0,0.98,0,0.98,0.98,0,15.71,0,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,2.12,0,7.43,0,2.12,2.12,0,0,5.31,1.06,1.06,19.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,1.09,3.28,0,0,6.56,0,4.37,3.28,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0.77,2.3,0,0,3.83,0,0,13.02,0.77,0,0,0,0,0,0,0.77,0,0.77
120,0,0,3.92,0,3.92,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0
