stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,muscle,neural,pericytes,periderm,spinal.cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0.82,0,0.82,0,4.93,0,0,0.82,0,0
 36-46,0,0,1.61,5.64,0,0,0,0,0,0.81,3.22,0,0,2.42,0,0
 48-58,0,0,0.57,28.12,0.57,0,0.57,0,0,0.57,4.59,0,0,0,1.15,0
 60-70,0,0,0,140.36,0,0,0.98,0,2.94,0,7.85,0,0.98,0,0.98,0
 72-82,0,0,0,205.17,0,0,2.94,0,0.98,0,3.93,0.98,0,0,0,0
 84-94,0,0,0,161.43,0,0,0,0,2.12,1.06,0,0,1.06,2.12,0,0
 96-106,0,0,1.09,112.56,0,1.09,3.28,0,1.09,0,3.28,0,0,0,0,0
108-118,0,0.77,0,81.96,0,0,1.53,0,0.77,0,6.13,0,0,0,0,0.77
120,0,0,0,82.31,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,0
