stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0
 24-34,0,0,0,6.57,0,0,2.46,0.82,0,0,4.1,0,0,0,0.82,0,3.28,3.28,1.64,0,9.85,0.82,1.64,0.82,0
 36-46,0,0,0.81,0.81,0.81,1.61,0,0,0,0,0.81,0.81,0,0,0,0,8.06,0.81,0,0,6.45,0,0.81,0,0
 48-58,0,0,0,1.72,0,0.57,2.3,0,0.57,0,0.57,0.57,0.57,0,2.87,0,4.02,4.59,2.87,0,6.89,0,0,0,0
 60-70,0,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,2.94,1.96,0,6.87,0,0.98,0,0.98
 72-82,0,0.98,0,6.87,0,0,1.96,2.94,0,0,0.98,0.98,0,0,1.96,0,1.96,10.8,0.98,0,4.91,0,0,0.98,0
 84-94,0,0,0,9.56,0,1.06,4.25,6.37,0,0,5.31,2.12,1.06,0,4.25,0,3.19,5.31,2.12,0,25.49,0,0,0,5.31
 96-106,0,2.19,0,26.23,0,0,4.37,16.39,0,1.09,4.37,6.56,0,0,4.37,1.09,3.28,20.76,8.74,0,16.39,0,0,0,20.76
108-118,0,0.77,0,16.09,0,0.77,6.13,15.32,0,0.77,4.6,6.13,0.77,0,0.77,0,1.53,8.43,9.19,0,17.62,0,0.77,0,22.21
120,0,0,0,27.44,0,0,5.88,7.84,0,0,5.88,5.88,0,1.96,3.92,0,1.96,11.76,0,0,15.68,0,1.96,0,19.6
