stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,11,1,0,2,0,0,0,5,0,8,2,0,18,0,4
 24-34,0,0,0.82,0.82,1.64,0,7.39,0,0,0,0,0,0.82,18.06,0,0,0,0,8.21,3.28,0,0,18.06,0,0,0,0,2.46,0,0,0,0.82,0,0,80.44,0,36.12
 36-46,0,0,0,0,0.81,0,8.06,0,0,1.61,0,0,1.61,19.34,0,0,0,0,29,4.03,0,0,14.5,0,0,0,0,2.42,0,0,0,0,2.42,0,56.4,0,61.23
 48-58,0,0,0,0,0,0,10.33,0,0,1.15,1.72,0,5.16,21.8,0,0.57,0,0.57,21.23,4.02,0.57,0.57,17.21,0.57,0,0,0,1.72,0,0,0,0,5.16,0,39.59,0,54.51
 60-70,0,0,0,0,0,0,119.75,0.98,0,0.98,2.94,0,11.78,37.3,0,6.87,0,0,14.72,9.82,1.96,0,28.46,0,0,0,0.98,9.82,0,0,0.98,0,4.91,1.96,38.28,0,64.78
 72-82,0,0,0,0.98,0,0.98,262.1,0.98,0,0.98,2.94,0,10.8,38.28,0,7.85,0,0.98,24.54,11.78,0.98,0,25.52,0,0,0,1.96,7.85,0,0,0,0,4.91,3.93,50.06,4.91,43.19
 84-94,0,0,0,0,0,0,270.82,1.06,1.06,0,4.25,0,6.37,54.16,0,9.56,0,1.06,38.23,11.68,1.06,1.06,14.87,0,1.06,0,3.19,10.62,0,0,0,0,0,1.06,39.3,0,48.85
 96-106,0,1.09,0,1.09,0,0,174.86,0,0,1.09,0,0,13.11,61.2,0,7.65,0,1.09,29.51,16.39,1.09,1.09,6.56,0,0,0,1.09,6.56,0,0,1.09,0,2.19,0,48.09,1.09,56.83
108-118,0,0,0,0,0.77,1.53,122.55,0,1.53,0,1.53,0.77,3.83,39.83,0.77,6.89,0,1.53,26.81,12.26,1.53,0,10.72,0,0,0,0.77,6.13,0,0,0,0,0,0.77,32.94,0,58.98
120,0,0,0,1.96,3.92,0,125.43,0,5.88,1.96,5.88,0,9.8,66.63,0,3.92,1.96,0,15.68,13.72,0,0,15.68,1.96,0,0,1.96,5.88,0,0,0,0,0,3.92,50.95,1.96,25.48
