stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,2.63,2.63,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,18.88,3.15,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0
 24-34,0,0,2.46,0,0,0.82,0,0,0,0.82,0,0.82,1.64,4.1,0.82,0,0,4.93,0,1.64,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0.57,0,0,0,1.72,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,1.96,2.94,0,0.98,0,0,0.98,0.98,3.93,0.98,0.98,0,0,0,1.96,0,0.98,0
 84-94,0,0,1.06,0,1.06,1.06,0,2.12,0,2.12,1.06,2.12,0,0,0,1.06,0,3.19,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,2.19,0,0,0,2.19,0,0,0
108-118,0,0,1.53,0,0,0.77,0,1.53,0,0.77,1.53,3.06,0,2.3,0,0,0,2.3,0,0,0
120,0,0,7.84,0,0,0,0,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,3.92
