stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,6,44,6,0,16,0,0,0,172,5,4,0,0,2,0,0,1,0,23,0,0,17,270,17,11,24,27,0,0,50,105,0,46,516,0,0,2,0,1
 24-34,4.1,1.64,11.49,1.64,0,28.73,0,0,1.64,194.54,1.64,0,0,0.82,1.64,1.64,2.46,0,0,39.4,0,0,13.13,275.81,7.39,72.24,16.42,0,5.75,0,0,109.17,0.82,13.95,423.56,0,0,4.1,0,0
 36-46,0,0,3.22,1.61,0,18.53,0,0,0.81,133.74,0.81,0,0.81,0,0,0,1.61,2.42,0,25.78,0,0.81,4.83,235.26,1.61,78.96,7.25,0,2.42,0,0,52.37,0,0,276.34,0,0,0.81,0,0
 48-58,0,0,2.87,0.57,0,33.85,0.57,0,1.15,113.04,0.57,0,0,0,0,0,2.87,1.15,0.57,16.07,0,0.57,9.18,207.14,1.72,54.51,9.18,0,1.15,0,0,16.07,0.57,0,232.39,0,0,2.3,0.57,2.3
 60-70,0.98,0,1.96,0,0,53,1.96,0,0.98,81.47,3.93,0,0,0.98,0.98,0.98,10.8,0.98,0,28.46,0,0.98,2.94,225.75,1.96,70.67,21.59,0,0.98,0,0,15.7,0.98,0,158.03,0,2.94,1.96,0,0.98
 72-82,5.89,0,3.93,7.85,0,62.83,0,0,2.94,118.78,7.85,0,0,0.98,1.96,7.85,25.52,0.98,0.98,32.39,0,0.98,5.89,149.21,0,118.78,48.1,0,3.93,0,0,13.74,0,0,75.59,0,0,2.94,2.94,0.98
 84-94,6.37,2.12,10.62,10.62,0,49.92,0,1.06,4.25,83.9,7.43,1.06,2.12,0,1.06,6.37,43.54,3.19,0,24.43,0,1.06,5.31,78.59,1.06,142.31,69.03,0,11.68,1.06,0,20.18,0,0,76.47,2.12,1.06,3.19,3.19,2.12
 96-106,10.93,6.56,8.74,21.86,2.19,48.09,0,0,2.19,83.06,16.39,0,1.09,5.46,0,5.46,67.76,1.09,0,32.79,2.19,2.19,10.93,61.2,2.19,217.48,79.78,0,15.3,0,0,16.39,0,0,54.64,0,1.09,3.28,3.28,4.37
108-118,5.36,5.36,6.89,10.72,1.53,31.4,0.77,2.3,1.53,48.26,6.13,0,0,1.53,2.3,6.89,45.96,1.53,3.83,23.74,0.77,0.77,8.43,84.26,0,136.34,60.51,0,9.96,0,0,19.92,0.77,0,46.72,1.53,0,3.06,0.77,4.6
120,3.92,1.96,13.72,5.88,0,31.36,0,0,1.96,37.24,1.96,0,0,0,1.96,5.88,31.36,1.96,1.96,21.56,0,0,9.8,101.91,0,92.11,50.95,0,5.88,0,0,11.76,0,0,27.44,0,3.92,1.96,0,1.96
