stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,1,0,0,0,0,0,2,0,2,9,0,0,1,0,0,1,2,2,0,0,0,0
 24-34,0,0,4.93,0,1.64,0,1.64,0,0,0,0,0,0,0,0.82,28.73,0,0,0,2.46,0,0,0.82,3.28,0,0,0,0
 36-46,0,0.81,5.64,0.81,0.81,0,0,0,0,0,0,0,1.61,0,0,14.5,0,0,0,1.61,0,0,0,7.25,0,0,0,0
 48-58,0,0,8.61,0,2.87,0,0,0,0,0,0,0,4.02,0,0.57,13.77,0.57,0,0,1.15,0,0,0,4.59,0,1.15,0,0
 60-70,2.94,0,15.7,0,1.96,0.98,0,0,0,0,0,0,3.93,0.98,0,25.52,0,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0.98,0.98,5.89,0,2.94,0.98,0,0,0,0.98,0,0,8.83,0,0.98,11.78,0.98,0.98,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,3.19,2.12,9.56,0,2.12,1.06,0,0,0,0,0,0,7.43,0,3.19,16.99,4.25,0,0,3.19,0,0,0,1.06,1.06,2.12,1.06,0
 96-106,0,0,4.37,0,2.19,0,0,0,1.09,0,1.09,0,6.56,0,0,3.28,1.09,0,0,0,0,0,0,3.28,0,0,1.09,0
108-118,0.77,0,5.36,0,2.3,0,0,1.53,0.77,0,0,0.77,6.13,0,1.53,12.26,0.77,0,0,1.53,0,0,0,0,0,0.77,0,0.77
120,3.92,0,1.96,0,1.96,1.96,0,0,0,0,0,0,11.76,0,0,13.72,0,0,0,5.88,0,0,0,0,0,0,0,0
