stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,31.47,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,5,0,10,0,2,0,1,29,38,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,32.01,4.1,0,0,0,0,0,0,2.46,0,0,36.94,16.42,14.78,0,0,2.46,0,0.82,9.85,121.49,142.83,0,0.82,0
 36-46,0,0,0,1.61,0.81,2.42,0,1.61,74.12,10.47,0,0.81,0.81,0,0,0,4.83,0,0,45.92,14.5,1.61,0,0,0.81,0,0,16.11,1.61,93.46,0,0.81,0
 48-58,0,0,0,0,0.57,3.44,0,4.02,72.87,4.59,0.57,0,0,0,1.15,0,19.51,0,0,22.95,10.9,1.72,0,0,0,0,0,9.18,0,99.84,0,0,0
 60-70,0,0,0,0,0,6.87,1.96,8.83,61.84,2.94,7.85,0,0,0,0,0,21.59,0,0,11.78,13.74,0,0,0,0.98,0,0,4.91,0,80.48,0,0,1.96
 72-82,0,0,0,0,0,10.8,0,0,72.64,21.6,10.8,0,0.98,0,0,0,31.41,0,0.98,22.58,22.58,0.98,0,0,0,0,0,0.98,0,91.29,0,0.98,0
 84-94,0,0,0,1.06,0,23.36,0,0,63.72,13.81,31.86,0,0,1.06,0,0,30.8,0,0,13.81,19.12,0,1.06,0,0,0,1.06,5.31,0,73.28,1.06,0,0
 96-106,0,0,1.09,1.09,1.09,6.56,1.09,1.09,56.83,8.74,46.99,0,0,0,1.09,1.09,34.97,1.09,0,10.93,15.3,1.09,1.09,0,0,0,0,1.09,0,45.9,0,0,0
108-118,0,0,0,0.77,0.77,4.6,1.53,0,51.32,9.96,49.02,0,0,0,0,0,27.57,0,0.77,10.72,23.74,0,0,0,0,0,0,1.53,0,40.6,0.77,0,0
120,0,0,0,0,0,5.88,0,0,48.99,7.84,27.44,0,1.96,0,3.92,0,37.24,0,0,7.84,9.8,0,0,0,0,0,0,0,0,17.64,0,0,0
