stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,4,0,2,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,6,54,1,0,0,0,0,1,5,0,2,20,0,0,0,0,0
 24-34,0,0,0,0,1.64,1.64,0,16.42,0.82,0,2.46,0,0,0,0.82,1.64,0,0.82,2.46,0,11.49,0,0,5.75,103.43,0,0.82,0.82,0,0,0.82,0,2.46,2.46,26.27,0,0,9.85,0,0
 36-46,0,0,0,0,0,0,0,41.89,0,1.61,3.22,0,0,0,1.61,0.81,0,0.81,0.81,0,13.7,0,0,1.61,87.01,0.81,0.81,0.81,0,0,3.22,0,4.83,0,24.17,0,0,8.06,0,0
 48-58,0,0,0,0,0,1.15,0,49.92,0,2.3,10.9,0.57,0,0.57,1.15,0,0,0.57,0,0.57,16.64,0,0,3.44,68.86,0,0.57,0.57,0,0,1.15,0,0.57,0,16.07,0,0,15.49,0,0
 60-70,0,0,0,0,3.93,1.96,0,62.82,1.96,5.89,6.87,0,0,0,3.93,0,0.98,0.98,0,0,28.46,0,0.98,4.91,99.13,0,0.98,1.96,0,0.98,3.93,0,3.93,0,14.72,0,0.98,9.82,0,0
 72-82,0,0,0.98,0,6.87,11.78,0,68.72,0,0.98,25.52,6.87,0,1.96,4.91,2.94,0,0.98,0.98,0,64.79,0,0.98,6.87,113.87,0,1.96,1.96,0,0.98,10.8,0,12.76,0,14.72,0.98,1.96,18.65,1.96,0
 84-94,0,0,0,0,7.43,13.81,0,55.23,1.06,2.12,8.5,7.43,0,0,19.12,4.25,1.06,3.19,1.06,0,39.3,1.06,3.19,4.25,61.6,1.06,1.06,4.25,0,0,19.12,0,13.81,0,9.56,2.12,2.12,22.3,0,0
 96-106,0,0,0,0,16.39,15.3,1.09,48.09,4.37,2.19,18.58,21.86,0,0,29.51,3.28,2.19,1.09,2.19,0,54.64,3.28,2.19,2.19,57.92,1.09,3.28,5.46,0,2.19,38.25,0,29.51,0,6.56,3.28,1.09,38.25,2.19,2.19
108-118,0,0,0,0,14.55,6.89,0,33.7,3.83,0,13.02,27.57,0,0,19.92,0.77,1.53,2.3,7.66,0,46.72,1.53,1.53,2.3,61.28,0.77,3.06,0.77,0,0.77,13.02,0,16.85,0,2.3,0,2.3,18.38,0.77,0
120,1.96,0,0,0,19.6,5.88,0,9.8,5.88,0,7.84,35.28,0,1.96,23.52,1.96,0,0,0,0,25.48,0,3.92,1.96,43.12,0,0,3.92,0,0,25.48,0,9.8,0,0,1.96,0,9.8,0,0
