stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,44.06,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,849.68,9.44,0,0,110.14,0,0,0,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,2,24,930,1,0,1,0,10,0,2,24,14,0,0,7,0,0,0,0,12,6,0,3,42,0,0,8,7,0,63,5,1,3,35,0,0,0,0,0
 24-34,0,0,0,4.93,82.91,0,0,1.64,0,10.67,0,4.93,11.49,2.46,0.82,0,3.28,0,4.1,3.28,0,8.21,0.82,0,2.46,20.52,0,5.75,4.1,0,0,48.43,0,0,0,6.57,0,0,0.82,0,0
 36-46,0,0,0,0,6.45,0,0,2.42,0,2.42,0,4.03,0,0,0,0,0,0,0,0.81,0,4.03,0,0,0,11.28,0,4.03,2.42,0,0,14.5,0,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0.57,2.3,0,0,0.57,0,0.57,0,3.44,0,0,0,0,0,0,0,0.57,0,6.31,0,0.57,0.57,6.31,0,0.57,0,0,0,2.3,0,0,0,3.44,0,1.15,0,0,0
 60-70,0,0,2.94,0,2.94,0,0,1.96,0,0,0.98,0.98,4.91,0,0,0,0,0,1.96,1.96,0,5.89,0,2.94,0.98,3.93,0,0.98,0.98,0,0.98,0.98,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0,4.91,0,3.93,2.94,0,6.87,0,0,1.96,4.91,21.6,0,0,0,0,0,1.96,0.98,0,26.5,0,0,0,33.38,0.98,0.98,1.96,0,0,1.96,0,0,0,0,0,0.98,0.98,1.96,0
 84-94,0,0,19.12,1.06,6.37,0,0,4.25,0,0,0,4.25,25.49,0,0,1.06,1.06,0,0,0,0,18.05,0,1.06,0,24.43,1.06,2.12,0,0,1.06,6.37,0,0,0,2.12,3.19,1.06,1.06,1.06,0
 96-106,0,0,21.86,0,15.3,6.56,0,26.23,1.09,1.09,0,9.84,55.74,0,0,3.28,2.19,0,2.19,4.37,0,24.04,4.37,1.09,1.09,52.46,0,4.37,2.19,0,2.19,17.49,0,0,0,3.28,1.09,0,6.56,2.19,0
108-118,0,0,17.62,0,8.43,2.3,2.3,19.15,0.77,0.77,1.53,9.19,45.19,0,0,2.3,1.53,0.77,2.3,1.53,0.77,20.68,0,0,1.53,43.66,0.77,3.06,1.53,0,0,9.19,0,0,0,0.77,0.77,0.77,0.77,1.53,0.77
120,0,0,11.76,0,9.8,0,0,5.88,0,3.92,0,5.88,58.79,0,0,1.96,0,0,0,0,0,9.8,0,1.96,1.96,41.16,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0
