stage,blastomeres,epidermis,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,5.26,2.63,0,15.77,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,3,3,0,2,2,2,0,0,0
 24-34,0,1.64,1.64,0,0.82,0,0,0.82,0,0.82,18.06,0,0,0,0,0,5.75,0.82,0
 36-46,0,0,0.81,0,1.61,0,0.81,0.81,0,0.81,16.11,0.81,0,0,0,0,4.03,0,0
 48-58,0,0,2.3,0,4.02,0,0,1.15,0,0.57,20.08,0.57,0,0,0,0,6.31,0,0.57
 60-70,0,0,5.89,0,3.93,0,0,2.94,0,0,12.76,0,0,0,0,0,4.91,0.98,0
 72-82,0,0,3.93,0,6.87,0,0,3.93,0.98,0,18.65,0,0.98,0,0,0,0.98,0,0
 84-94,0,1.06,1.06,0,3.19,0,0,2.12,1.06,0,4.25,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,2.19,0,0,8.74,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,1.53,1.53,0.77,0,1.53,0,0,5.36,0,0,0,0,0,0,0.77,0
120,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
