stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,4,24,0,0,0,0,0,0,1,34,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0.82,0,0,0,9.03,0,0,1.64,261.85,0.82,0,0,0,0.82,0.82,1.64,115.74,0,0,4.1,0,0.82
 36-46,0,0,0,1.61,0,0,12.89,1.61,0,0,0,0.81,0,0,0,0,0,0.81,0,1.61,10.47,0,0,5.64,549.47,0,0,0.81,0,0.81,0,0,165.16,0,0,0,0,0
 48-58,0,0,0,2.87,1.72,0,51.64,2.3,0,0.57,6.31,0.57,0,0.57,1.15,1.15,0,0.57,0,1.15,14.35,0,0,9.75,658.73,0.57,0.57,0.57,0,2.3,0.57,0,175.01,0,0,1.72,0,1.15
 60-70,0,0,0,0.98,0,0,37.3,0,0.98,0,1.96,0,0,0.98,0,0,0,0.98,0,0,12.76,0.98,0,2.94,423.04,0,0,0,0,0.98,0.98,0,151.15,0,0,0,0,1.96
 72-82,0,0,0,3.93,5.89,0,57.92,0,0.98,2.94,10.8,2.94,0,0.98,0.98,0,0,0.98,0.98,0,23.56,0.98,0,2.94,327.88,0,0.98,0,0,2.94,0,0,79.51,0,1.96,0.98,0.98,2.94
 84-94,0,0,0,8.5,1.06,1.06,28.68,0,1.06,0,3.19,0,0,0,0,1.06,1.06,0,1.06,0,7.43,0,1.06,2.12,152.93,0,1.06,1.06,0,3.19,0,0,48.85,0,1.06,0,0,1.06
 96-106,0,0,0,2.19,0,0,17.49,0,0,0,7.65,1.09,0,0,2.19,0,0,0,1.09,0,5.46,0,0,0,85.24,0,0,1.09,0,2.19,0,0,10.93,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0,6.89,0,0,0,3.06,0,0,0.77,0,0,0,0,1.53,0,5.36,0,0,0,127.92,0.77,0.77,0,0,0.77,0,0,6.89,0.77,0,0,0,0
120,0,0,0,0,0,0,9.8,0,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,123.47,0,0,0,0,1.96,0,0,9.8,0,0,1.96,0,0
