stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,31,0,0,0,0,0,0,0
 24-34,0.82,0.82,2.46,0,0,5.75,0,0,0,1.64,0,0,0,2.46,0,0,0,0.82,3.28,0.82,0,9.03,55.82,0,0,1.64,0,4.93,120.67,0.82,15.6,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,8.06,0,0,0.81,4.03,0,0.81,0,0,0,0.81,1.61,0,5.64,0,0,0.81,51.56,0,0,0,0,0.81,99.9,1.61,10.47,0,0,1.61,0,0
 48-58,0,0,2.87,1.15,0,25.25,0,1.15,0.57,13.77,0,0,1.15,0.57,0,0,2.87,0,8.61,0,1.15,1.72,45.9,0.57,0,0,0,4.59,62.54,0,13.77,0,0,1.15,0,1.15
 60-70,0.98,0,0.98,0.98,0,35.33,0,0.98,2.94,12.76,5.89,0.98,0,0,0.98,0.98,0,0,13.74,0,0,0,38.28,0,0,0.98,0,6.87,74.6,0.98,3.93,0,0,0.98,0,0
 72-82,0,2.94,16.69,12.76,0,91.29,0.98,2.94,3.93,42.21,61.84,1.96,0.98,0.98,0.98,2.94,1.96,0,46.14,2.94,0.98,7.85,176.7,0.98,0.98,1.96,0,15.71,105.04,0,4.91,0,0,10.8,1.96,3.93
 84-94,0,1.06,15.93,11.68,0,60.54,0,1.06,1.06,25.49,113.64,0,5.31,1.06,3.19,0,5.31,1.06,35.05,0,1.06,1.06,103.02,3.19,0,1.06,0,23.36,224.09,1.06,2.12,0,4.25,6.37,2.12,0
 96-106,0,2.19,34.97,24.04,6.56,95.08,5.46,3.28,5.46,34.97,172.67,1.09,14.21,7.65,4.37,3.28,15.3,0,66.66,2.19,1.09,8.74,232.78,0,5.46,4.37,1.09,59.01,212.01,0,3.28,4.37,3.28,10.93,2.19,2.19
108-118,0,1.53,22.98,8.43,6.13,58.98,1.53,6.13,3.83,23.74,170.04,1.53,3.83,2.3,1.53,0,6.89,1.53,70.47,3.06,3.06,6.89,168.51,0.77,2.3,0.77,0.77,25.28,196.85,0.77,6.13,1.53,1.53,5.36,0.77,3.83
120,0,1.96,19.6,7.84,3.92,47.03,1.96,1.96,0,31.36,94.07,1.96,1.96,1.96,5.88,0,9.8,1.96,21.56,0,1.96,7.84,103.87,0,0,7.84,0,9.8,148.94,0,3.92,0,1.96,5.88,0,1.96
