stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,422.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,31.54,0,36.8,0,0,39.43,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,552.03,39.43,0,0,197.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,40.91,0,9.44,84.97,0,0,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,629.39,44.06,0,0,258.05,0,0,0,31.47,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,23,5,11,0,0,0,2,3,0,1,0,0,0,0,0,2,17,0,0,9,140,6,1,2,3,0,2,11,3,2,25,57,0,0,1,0,0
 24-34,0,0,0.82,2.46,19.7,1.64,35.3,0,0,2.46,9.03,0,0,0,1.64,0,0,0.82,0.82,0,57.46,1.64,0,18.88,475.28,1.64,7.39,3.28,0,0,8.21,0,0.82,0.82,7.39,123.13,0,0,6.57,0,3.28
 36-46,0,0,0.81,0,6.45,2.42,114.41,0.81,0.81,1.61,44.31,0,0,2.42,2.42,0,0,0,0,1.61,87.82,0.81,2.42,19.34,784.72,1.61,11.28,1.61,0,0,7.25,0,0,0,2.42,175.64,0,0,10.47,0,2.42
 48-58,0,0,0,0,7.46,0.57,160.09,0.57,0.57,5.74,81.48,0,0.57,2.3,1.72,2.3,1.72,0.57,1.15,4.02,105.58,0,3.44,18.94,621.43,2.3,7.46,2.87,0,0,4.59,0,0.57,0,0,145.75,0,2.3,8.03,0,2.3
 60-70,0,0,1.96,0,8.83,0.98,153.12,0.98,1.96,3.93,95.21,0.98,0,2.94,3.93,0,0.98,1.96,0,0.98,135.45,0.98,1.96,18.65,481.93,1.96,8.83,6.87,0,1.96,15.7,0,0,0.98,0,70.67,0.98,3.93,17.67,1.96,4.91
 72-82,0,0,0.98,0,16.69,12.76,210.08,0.98,3.93,5.89,132.52,3.93,0,8.83,8.83,3.93,0,4.91,0,0.98,230.69,5.89,9.82,11.78,696.98,0.98,12.76,8.83,0,0,14.72,0,2.94,0,0,39.27,4.91,7.85,15.71,2.94,4.91
 84-94,0,0,1.06,0,30.8,4.25,161.43,2.12,7.43,6.37,101.96,4.25,0,4.25,22.3,5.31,4.25,8.5,1.06,4.25,161.43,1.06,9.56,23.36,324.98,0,10.62,9.56,0,4.25,41.42,0,4.25,0,0,39.3,4.25,6.37,20.18,4.25,7.43
 96-106,1.09,0,0,0,26.23,14.21,73.22,0,0,4.37,90.71,13.11,0,4.37,33.88,5.46,3.28,5.46,0,1.09,146.44,3.28,9.84,17.49,233.87,1.09,10.93,13.11,0,2.19,28.41,0,1.09,0,0,10.93,4.37,3.28,14.21,8.74,3.28
108-118,0,0,0.77,0,33.7,6.89,55.15,1.53,9.96,4.6,65.87,7.66,0,1.53,20.68,8.43,6.89,3.06,1.53,0.77,89.62,1.53,5.36,15.32,249.7,2.3,5.36,9.96,0,2.3,24.51,0,0.77,0,0,9.96,2.3,4.6,17.62,2.3,8.43
120,1.96,0,0,0,31.36,0,72.51,5.88,3.92,0,43.12,17.64,0,1.96,15.68,3.92,3.92,5.88,1.96,0,125.43,0,9.8,11.76,162.66,3.92,3.92,7.84,0,5.88,19.6,0,0,0,0,15.68,3.92,1.96,19.6,9.8,1.96
