stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,1.15,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0
 72-82,0,2.94,0,0,4.91,0,0,0,0,0,0,0,1.96,0,0,4.91,1.96,0,61.84,0,0,0
 84-94,0,4.25,1.06,0,0,5.31,0,0,0,0,1.06,1.06,3.19,1.06,0,2.12,5.31,0,195.41,0,0,0
 96-106,0,20.76,2.19,0,3.28,6.56,1.09,1.09,4.37,2.19,5.46,0,1.09,10.93,0,13.11,13.11,0,370.48,0,0,0
108-118,0,39.06,0.77,1.53,3.83,23.74,0,2.3,1.53,0,9.19,0,3.06,7.66,0.77,8.43,12.26,0.77,708.52,0.77,1.53,0.77
120,0,19.6,0,0,7.84,15.68,0,0,0,0,7.84,0,1.96,0,1.96,5.88,3.92,0,272.41,0,0,0
