stage,epidermis,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,1,1,0,0,0,0,0,1,0,1,7,0,0,1,1,1,1,2,2,0
 24-34,0,2.46,0.82,0,0,0,0,2.46,0,0.82,28.73,0,0,0,0,0,0,0,2.46,0.82
 36-46,0,0.81,0.81,0,0,0,0,0.81,0,0.81,16.92,0,0,0.81,0,0,0,0,1.61,0.81
 48-58,0,5.74,2.3,0,0,0,0.57,1.15,0,1.72,15.49,0,0,0,0,0,0,0,2.3,0.57
 60-70,0,26.5,3.93,0,0,0.98,0,4.91,0,0,16.69,0.98,0,0.98,0,0.98,0,0,0.98,0
 72-82,0.98,18.65,1.96,0,0,0,0,6.87,0.98,0,17.67,0,0,0,0,0,0,0,0.98,0
 84-94,1.06,7.43,0,0,0,0,0,1.06,1.06,0,3.19,0,1.06,0,0,0,0,0,2.12,0
 96-106,5.46,16.39,2.19,1.09,0,0,0,2.19,0,0,10.93,0,1.09,2.19,0,0,0,0,0,2.19
108-118,3.06,4.6,0,1.53,1.53,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0.77,0.77
120,3.92,7.84,1.96,0,0,0,0,0,0,0,9.8,0,0,3.92,0,0,0,0,0,0
