stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,0.82,0,2.46,0,0.82,18.88,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,3.22,0,0.81,0.81,0,0,0,0,0,0,4.03,0,0,78.15,0.81,0,0.81,0,4.83,0,0,0,0.81
 48-58,0,0,7.46,0,0,0.57,0,0,0,0,0,0,9.75,0,1.15,82.05,0,0.57,0,0,3.44,0,0,0,0
 60-70,0.98,0,18.65,0,0.98,4.91,0,0,0,0,0,0,11.78,0.98,0.98,189.43,0.98,0,0,0,9.82,0,0,0,0
 72-82,0,0,22.58,0,2.94,8.83,0,0.98,0,0,0.98,0,30.43,0.98,0,215.97,0,0,0,0,5.89,0,0,1.96,0
 84-94,1.06,0,20.18,0,0,3.19,0,0,0,0,1.06,0,25.49,0,2.12,129.57,0,1.06,0,0,1.06,1.06,1.06,4.25,0
 96-106,0,0,14.21,1.09,3.28,0,0,0,0,1.09,0,1.09,20.76,0,2.19,107.1,0,0,0,0,3.28,0,0,2.19,0
108-118,0.77,0,22.21,0.77,2.3,7.66,0.77,0,0,0,0.77,0.77,21.45,0,1.53,134.81,0,0,0,0.77,0.77,0.77,0,3.83,0
120,0,0,13.72,0,0,1.96,0,0,1.96,0,0,0,9.8,0,1.96,97.99,0,0,0,0,1.96,0,0,3.92,0
