stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,15.77,0,0,26.29,0,0,15.77,0,0,0,0,0,278.64,7.89,0,107.78,0,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,3.15,44.06,0,0,6.29,0,0,0,0,0,264.35,15.73,0,75.53,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,1,0,0,1,0,31,0,0,0,0,0,1,1,2,33,0,1
 24-34,0,0,0,0,0,1.64,2.46,0.82,0,0,0,0,1.64,1.64,35.3,0,0,0,0,0.82,0,0.82,0,58.28,0,0
 36-46,0,0,0,0,0,2.42,1.61,0,0,0,0,0,0,0,53.98,0,0,0,0,0,0,0,0,65.26,0,0
 48-58,0,0,0,0.57,0,6.31,0.57,0,0,0.57,0,0,1.15,0,63.69,0,0,0,0,0,0,0,0,33.28,0,0.57
 60-70,0,0,0,0,0,79.5,1.96,0,0,0,0,0,2.94,0,77.54,0,0,0,0,0,0,0,0,38.28,0,0
 72-82,0,0,0,0.98,0,113.87,2.94,0,0,0,0,0,3.93,0.98,61.84,0,0,0,0,0,0,0,0,9.82,0,1.96
 84-94,0,0,0,2.12,0,79.65,2.12,0,0,0,1.06,1.06,3.19,0,35.05,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,53.55,4.37,0,0,0,0,0,0,0,36.06,1.09,0,0,0,0,0,0,0,2.19,2.19,0
108-118,0,0,0,0,0,47.49,6.89,0,0,0,0,0,0.77,0,37.53,0,0,0,0.77,0,0,0,0,1.53,0.77,0
120,0,0,0,0,0,31.36,13.72,0,0,0,1.96,0,0,0,31.36,0,1.96,0,0,0,0,0,0,5.88,0,0
