stage,axial,blastomeres,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,52.71,355.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,0,15.77,7.89,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
