stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,14,0,0,0,0,3,1,3,0,0,2,0,0,1,8,0,35,0
 24-34,0,0,0,0.82,0,0,0.82,12.31,0,0,0,0,2.46,0,9.03,0.82,0.82,0.82,0,0,0,4.93,2.46,31.19,0
 36-46,0,0,0,0,0,0,1.61,7.25,0,0,0,0,2.42,0,4.83,0,2.42,0.81,0,0,0,4.03,0,20.95,0
 48-58,0,0,0,0,0,0,0.57,11.48,0,0,0,0,1.72,0,2.87,0,4.02,0.57,0,0.57,0,1.15,0,17.21,0
 60-70,0,0,0,0,0,0,0.98,9.82,0,0,0.98,0,0,0,4.91,0,7.85,0,0,0.98,0,0,0,4.91,0
 72-82,0,0,0,0,0.98,0,0,10.8,0,0,0,0,1.96,0,3.93,0,7.85,0.98,0,0.98,0,0,0,6.87,0
 84-94,0,0,0,1.06,0,0,1.06,6.37,2.12,0,0,0,3.19,0,2.12,0,5.31,3.19,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,0,7.65,1.09,1.09,0,2.19,0,5.46,4.37,0,1.09,0,4.37,0,7.65,1.09
108-118,0,0,0.77,0,0,0.77,1.53,3.06,0,0,1.53,0,0.77,0,1.53,0,5.36,6.89,0,0,0,1.53,0,3.83,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,5.88,3.92,0,0,0,3.92,0,3.92,0
