stage,epidermis,glial,hatching_gland,immune,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,pronephros,spinal_cord
  7-9,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0
 14-21,1,3,0,0,0,3,1,0,0,2,6
 24-34,0,1.64,0,0,0,0.82,0,0,0,0,2.46
 36-46,0,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0.57,2.87,0,0,0,0,0.57
 60-70,0,0.98,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,9.84,0,0,0,0,0,0,0
108-118,0,0,0,3.83,0,0.77,0,0.77,0,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0
