stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,138.47,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,12,39,0,1,0,0,0,3,0,152,192,4,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,8.21,196.18,1.64,0,2.46,0,0,0.82,0,1.64,0,0.82,1.64,0,11.49,0,0,32.83,100.14,4.93,0.82,0,0,0,4.93,0,0,160.89,271.7,18.88,0,0,2.46,0,0.82
 36-46,0,0.81,0,0.81,0.81,0,21.75,376.25,0,0.81,1.61,0,0,3.22,0,0,0,0,1.61,0.81,9.67,0,0.81,22.56,91.04,1.61,0.81,0.81,0,0,5.64,0,0,128.1,22.56,24.98,0,0,2.42,0,0.81
 48-58,0,0,0,2.3,0,0,45.33,370.1,0,0.57,9.75,0,0,0.57,0,0.57,0,0,0.57,1.72,21.23,0,1.15,36.72,110.74,0.57,0.57,0,0,0,2.3,0,0,122.22,0,33.85,0,0,1.15,0,1.72
 60-70,0,0,0,1.96,0,0,27.48,193.36,0,1.96,4.91,0.98,0,3.93,0,0.98,0.98,0,0,0,19.63,0,0,30.43,52.02,0,0.98,0.98,0,0,5.89,0,0,64.78,0,6.87,0,0,0,0,0
 72-82,0,5.89,0,3.93,0.98,0,40.25,136.45,0,0.98,4.91,11.78,0,2.94,0,0,0.98,0,0,0,52.03,0,0,35.34,48.1,0,0,0,0.98,0,0,0,0,44.17,0,6.87,0.98,0.98,4.91,0,0
 84-94,0,2.12,0,4.25,3.19,0,30.8,250.64,1.06,0,4.25,26.55,1.06,4.25,1.06,0,0,0,1.06,0,35.05,0,0,40.36,28.68,0,0,3.19,0,0,8.5,0,2.12,95.58,0,4.25,0,2.12,0,1.06,2.12
 96-106,0,2.19,0,12.02,8.74,3.28,46.99,328.95,3.28,2.19,16.39,97.26,0,9.84,4.37,1.09,1.09,2.19,5.46,0,89.61,4.37,1.09,42.62,79.78,2.19,4.37,7.65,1.09,1.09,18.58,0,3.28,101.63,0,1.09,2.19,0,2.19,3.28,3.28
108-118,0,1.53,0,5.36,0.77,4.6,19.15,319.41,1.53,2.3,6.13,134.04,0,6.13,0.77,0.77,0,0,3.83,0.77,73.53,1.53,0,51.32,76.6,0.77,1.53,7.66,0,0.77,7.66,0,6.13,94.21,0,0,0.77,0.77,2.3,0,2.3
120,1.96,1.96,0,5.88,0,0,17.64,205.78,0,0,5.88,72.51,0,3.92,1.96,0,0,0,1.96,1.96,76.43,0,0,62.71,50.95,0,3.92,5.88,0,1.96,3.92,1.96,3.92,29.4,0,0,0,1.96,0,0,0
