stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,52.71,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,10.51,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,1,4,1,2,8,0,5,20,0,0,0
 24-34,0,0,0,0,0,0,0,16.42,0,4.93,0,0,0,0,0,0.82,8.21,0,13.13,2.46,0,3.28,10.67,0.82,6.57,21.34,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,5.64,0,4.03,0,1.61,0.81,0,0,0,11.28,0,8.06,0.81,0,0,3.22,0,0,14.5,0,0,0
 48-58,0,0,0,0,0,2.3,0,9.18,0,0.57,0,0,1.15,0.57,0,1.15,9.75,0,5.74,0.57,0,0.57,1.15,0,0,14.92,0,0.57,0
 60-70,0,0,0,0,0,0,0,6.87,0,0.98,0,2.94,2.94,0,1.96,0,3.93,0,6.87,0.98,0,3.93,1.96,0,0,5.89,0,0,0
 72-82,0,0,0,0,0,0,0,10.8,0,2.94,7.85,0.98,1.96,0,0,1.96,2.94,0,13.74,6.87,0,3.93,0,0,0,9.82,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,0,9.56,0,5.31,2.12,1.06,4.25,0,0,0,4.25,0,11.68,8.5,0,13.81,4.25,0,0,6.37,0,0,0
 96-106,0,0,2.19,0,1.09,2.19,0,8.74,0,5.46,0,6.56,4.37,0,0,0,3.28,0,19.67,7.65,0,6.56,2.19,0,0,4.37,0,0,2.19
108-118,0,0,0.77,0,2.3,1.53,0,6.13,1.53,1.53,0,1.53,4.6,0,0,0,5.36,0,13.02,3.83,0,1.53,1.53,0,0,1.53,2.3,0,2.3
120,0,0,0,1.96,1.96,3.92,0,5.88,0,5.88,0,0,5.88,0,0,0,9.8,0,5.88,1.96,0,3.92,1.96,0,0,0,0,0,0
