stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,8,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,3,2,5,0,0
 24-34,0.82,0,0,0,0.82,0,0,0,6.57,0,9.85,0,4.1,0,5.75,8.21,0,0,13.95,3.28,36.94,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,2.42,0,7.25,0,8.86,0,1.61,4.83,2.42,0.81,6.45,4.03,22.56,0,3.22
 48-58,0,0,0,0,1.72,0,0,0,2.3,0,14.92,0,3.44,0,0.57,4.02,1.72,0,0.57,2.87,20.66,0,6.89
 60-70,0,0,0,0,4.91,0,0,0.98,4.91,0,19.63,0,4.91,0.98,1.96,2.94,1.96,0,0.98,0.98,11.78,0.98,3.93
 72-82,0,0,0,0.98,3.93,0,0,0,6.87,0.98,33.38,0,7.85,0,1.96,5.89,0,0.98,3.93,1.96,18.65,0,7.85
 84-94,0,1.06,1.06,0,3.19,0,0,0,7.43,1.06,49.92,0,6.37,0,1.06,1.06,1.06,1.06,5.31,1.06,20.18,0,5.31
 96-106,0,0,2.19,1.09,6.56,0,0,1.09,7.65,0,59.01,0,5.46,1.09,0,2.19,8.74,6.56,4.37,2.19,17.49,1.09,15.3
108-118,0,1.53,0.77,9.19,8.43,0,0.77,0,6.89,3.06,42.13,1.53,13.02,0,1.53,5.36,3.83,3.06,4.6,0.77,16.09,0,9.19
120,0,1.96,0,3.92,1.96,0,0,0,3.92,3.92,45.08,0,1.96,0,1.96,1.96,3.92,1.96,3.92,0,15.68,0,7.84
