stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0.82,0,0,0,13.13,1.64,1.64,6.57,0,0,1.64,0.82,1.64,0
 36-46,0,0.81,0.81,0,0,0,0,0,0,1.61,0,0.81,0.81,0.81,17.72,4.83,0.81,8.86,0,0,1.61,0,2.42,0
 48-58,0,0,4.59,0.57,0,0.57,0,0,0,0,0,0.57,0,0,25.25,0.57,0.57,3.44,0,0,1.15,0,4.02,0
 60-70,0,3.93,7.85,0.98,0.98,0.98,0.98,0,0,0.98,0,0.98,0.98,0,28.46,0.98,0,0.98,0,0,0,0,4.91,0
 72-82,0.98,0,8.83,0,0,2.94,0.98,0,0,2.94,0.98,0,0.98,0,53.99,0.98,0.98,5.89,0,0,0.98,0,6.87,0
 84-94,1.06,3.19,8.5,0,0,4.25,2.12,1.06,2.12,3.19,1.06,0,0,0,23.36,0,0,19.12,0,0,0,0,3.19,1.06
 96-106,1.09,1.09,15.3,0,0,4.37,1.09,0,1.09,2.19,2.19,3.28,2.19,0,30.6,1.09,3.28,25.14,0,0,0,0,0,0
108-118,1.53,3.06,13.02,1.53,1.53,3.83,0,0,1.53,4.6,0,0.77,0,0,22.98,3.06,1.53,10.72,0,0,0,0,0.77,0
120,0,5.88,11.76,0,0,3.92,5.88,0,0,1.96,3.92,1.96,0,1.96,15.68,0,1.96,9.8,0,0,0,0,0,0
