stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19,0,0,1,0,0,0,1,1,10,0,0,0
 24-34,0,1.64,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,1.64,64.85,0,4.93,0.82,0,0.82,0,0,0,18.06,0,0,0
 36-46,0,0,0,0,0,10.47,0,0.81,0,2.42,0,0,0,0.81,0.81,0,0.81,90.23,0,8.86,0,0,0,0.81,0,0,41.09,0,0,0
 48-58,0,1.15,0,0.57,0,25.25,0,0,0,2.3,0,0,0,0,0.57,0,0,136.57,0,9.18,0,0,1.15,0,0,0,15.49,0,0,0.57
 60-70,0,0.98,0,0.98,0,80.48,0,0.98,0,9.82,0,2.94,0,0,3.93,0,0,275.81,0,8.83,0,0,5.89,0.98,0,0,23.56,0,0,0
 72-82,0,0.98,0,3.93,0,128.6,0,0,0,10.8,1.96,0.98,0,0.98,3.93,0,0,341.62,0,18.65,0.98,0,2.94,0.98,0,0,14.72,0,0,0
 84-94,0,1.06,0,5.31,0,86.03,1.06,0,0,10.62,2.12,2.12,0,0,3.19,0,0,194.35,0,3.19,0,0,7.43,1.06,0,0,10.62,1.06,0,0
 96-106,0,3.28,0,5.46,4.37,81.96,0,1.09,0,16.39,2.19,6.56,0,0,4.37,1.09,3.28,185.78,0,16.39,1.09,0,3.28,1.09,0,0,4.37,1.09,0,0
108-118,0,1.53,0,3.83,0,82.72,0,0.77,0,13.02,1.53,1.53,0.77,0,3.83,0,0,201.45,0,8.43,0,0,2.3,0,0,0,3.06,0,0.77,0
120,0,3.92,0,3.92,1.96,54.87,0,1.96,1.96,17.64,0,3.92,1.96,0,0,0,0,190.1,1.96,15.68,3.92,0,3.92,0,0,0,7.84,0,0,0
