stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1422.08,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,18.4,36.8,0,0,0,57.83,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,525.74,5.26,0,0,199.78,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,28.32,0,9.44,0,53.5,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,563.31,9.44,0,0,248.61,0,0,9.44,0,28.32,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,25,12,0,24,0,0,0,2,2,0,0,0,0,0,0,0,2,10,0,0,13,188,1,0,2,1,0,0,0,42,0,1,39,46,0,0,1,0,0
 24-34,0,0,1.64,14.78,0.82,0,28.73,0,0.82,0,10.67,0.82,0,0,0,0.82,0,0.82,0.82,0.82,26.27,0,0,14.78,279.09,4.1,0.82,3.28,0,0,5.75,0,0,0.82,1.64,6.57,71.41,0,0,4.93,0,1.64
 36-46,0,0,0,2.42,0,0,53.17,0.81,0,0,10.47,0,0,0.81,0,0,0.81,1.61,0.81,0,20.95,0,0,11.28,180.47,1.61,2.42,1.61,0,0,6.45,0,0,0,0,0,39.48,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,64.27,0,1.72,0.57,24.67,0.57,0,0.57,0,0,0,0.57,0,0,30.41,0,2.3,7.46,133.12,0,0.57,1.72,0,0,2.87,0,0,0,0,0.57,29.26,0,0,2.3,0,0.57
 60-70,0,0,0,9.82,0,0,71.65,0,0.98,0,28.46,1.96,0,0.98,1.96,0.98,0.98,0.98,1.96,0,43.19,0,2.94,4.91,108.95,1.96,1.96,3.93,0,0.98,6.87,0,0,0.98,0,0,19.63,0,0,1.96,0,0
 72-82,0,0,0,1.96,0.98,0,66.75,0,0,3.93,34.36,0.98,0,0,1.96,0.98,0.98,0,0,0,59.88,0,4.91,5.89,115.84,0,0,0.98,0,0.98,1.96,0,0,0,0,0,10.8,0,1.96,4.91,0.98,0.98
 84-94,0,0,0,12.74,1.06,1.06,37.17,0,1.06,0,16.99,1.06,0,0,3.19,2.12,1.06,0,1.06,0,33.99,0,0,11.68,79.65,1.06,1.06,3.19,0,0,13.81,0,0,0,0,0,12.74,1.06,0,4.25,4.25,1.06
 96-106,0,0,0,4.37,1.09,0,29.51,0,1.09,0,16.39,3.28,0,0,2.19,0,0,3.28,1.09,0,43.71,1.09,3.28,14.21,50.27,1.09,2.19,2.19,0,2.19,8.74,0,0,2.19,0,0,2.19,0,0,2.19,2.19,2.19
108-118,0,0,0,14.55,0.77,0.77,27.57,0,0,2.3,21.45,0.77,0,0,0.77,0.77,2.3,0,0.77,0.77,33.7,0,0,12.26,72.77,0,1.53,0.77,0,0,6.89,0,0,0,0,0,1.53,0.77,0.77,3.83,0.77,3.06
120,0,0,0,15.68,1.96,0,21.56,1.96,1.96,0,27.44,1.96,0,0,5.88,0,0,0,1.96,0,31.36,1.96,0,9.8,115.63,0,0,7.84,0,1.96,7.84,0,0,0,0,0,1.96,0,0,3.92,0,3.92
