stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,4,0,3,0,0,2,1,0,1,0,0,0,0,1,16,0,0,14,60,7,2,0,1,0,1,5,1,2,4,18,0,0,4,0,1
 24-34,0,0,0.82,0,4.1,0,0,24.63,0.82,1.64,5.75,0,0,0,0,0,1.64,0,2.46,27.09,0,0,12.31,164.17,4.93,3.28,0.82,0,0.82,0,0,0,0.82,2.46,38.58,0,0,13.13,0,0.82
 36-46,0,0,0,0,4.83,0,0,62.84,0.81,0,7.25,0,0,0,0,0,0,0,1.61,49.15,0,1.61,6.45,265.07,4.83,4.03,0.81,0,0,0.81,0,0,0,0,61.23,0,0,5.64,0,5.64
 48-58,0,0,0,0,2.3,0,0,61.97,0.57,2.3,10.9,0,0,1.72,0.57,1.15,0,0,1.72,43.04,0,1.72,4.59,230.1,0.57,0.57,0,0,0.57,0,0,0,0,0,49.92,0,0.57,3.44,0,1.15
 60-70,0,0,0.98,0,0.98,0,0,114.84,2.94,0.98,25.52,0,0,0.98,0.98,0.98,0,0,0.98,76.56,0,2.94,6.87,338.63,0,0,0,0,0.98,0,0,0,0,0,49.08,0.98,1.96,3.93,0,0.98
 72-82,0,0,0.98,0,0.98,2.94,0,97.18,0,5.89,25.52,0.98,0,0.98,1.96,1.96,0,0,0,90.31,0.98,0.98,5.89,221.86,0,1.96,1.96,0,0.98,0,0,0,0,0,24.54,0,2.94,5.89,1.96,0.98
 84-94,0,0,0,0,4.25,0,0,70.09,5.31,0,28.68,1.06,0,3.19,6.37,3.19,0,0,0,43.54,0,3.19,6.37,127.44,0,1.06,2.12,0,0,0,0,0,0,0,7.43,1.06,2.12,7.43,3.19,1.06
 96-106,0,0,2.19,0,5.46,0,0,54.64,2.19,1.09,18.58,1.09,0,0,4.37,5.46,1.09,0,0,40.44,0,2.19,3.28,69.94,1.09,0,1.09,0,3.28,1.09,0,0,0,0,4.37,0,2.19,14.21,2.19,0
108-118,0,0,0.77,0,9.19,0,0,41.36,0.77,0,16.85,3.06,0,0,3.06,2.3,0.77,0,0.77,45.96,0,1.53,2.3,76.6,0.77,0,0.77,0,3.06,0,0,0,0.77,0,3.83,3.06,1.53,4.6,3.06,0.77
120,0,0,1.96,0,5.88,0,1.96,41.16,3.92,0,15.68,0,0,1.96,5.88,1.96,1.96,1.96,1.96,21.56,0,3.92,3.92,90.15,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,3.92,1.96,0
