stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,10.51,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,7.39,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,4.83,0,0.81,0.81
 48-58,0,0,0,0,0.57,0,0,0.57,0,0.57,0,3.44,0,0.57,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,2.19,0,1.09,0,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
