stage,axial,blastomeres,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,79.07,1383.68,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,49.04,1317.87,0,0,0,6.13,0,0,0,12.26,0,0,12.26,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,94.63,2.63,13.14,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,18.88,3.15,6.29,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,1.15,0
 72-82,0,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
