stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,gut,heart,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,3.15,0,0
 14-21,0,0,0,2,0,0,0,1,0,0,1,1,0,3,0,1,0,1,1,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,5.75,1.64,0,0,1.64,0,0.82,2.46
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0.81,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,4.25,0,0,0,0,0,0,0,5.31,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
