stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,2464.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1759.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,12.26,0,0,24.52,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,55.2,73.6,0,0,0,149.84,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,1382.7,28.92,0,0,557.29,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,66.09,0,3.15,0,195.11,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,1809.51,15.73,0,0,708.07,0,0,18.88,0,50.35,0,6.29,3.15,0,0,0,0,0
 14-21,0,1,24,216,101,0,217,0,0,53,12,0,1,0,27,0,2,0,1,148,1,0,107,2228,66,11,22,57,0,35,6,187,8,2,171,582,0,0,15,0,0
 24-34,0,0,6.57,70.59,127.23,0,524.53,2.46,3.28,37.76,2.46,1.64,1.64,5.75,13.13,3.28,7.39,0,0.82,234.76,0.82,2.46,84.55,2164.6,6.57,18.88,31.19,0.82,0,59.92,0.82,0.82,7.39,0.82,26.27,455.58,0,0,34.48,0,4.1
 36-46,0,0,0,37.06,28.2,0,809.7,1.61,1.61,45.92,1.61,0,2.42,4.83,3.22,8.86,7.25,3.22,1.61,227.2,1.61,7.25,58.81,1067.51,3.22,6.45,14.5,0,0,29.81,0.81,2.42,1.61,0,0,236.87,0,0,16.11,0,6.45
 48-58,0.57,0,1.72,37.87,5.16,0,689.14,5.16,6.31,48.2,3.44,0,4.02,4.02,2.87,4.02,4.02,1.72,0,184.77,0.57,8.61,44.76,430.93,1.15,4.02,4.59,0,0,14.35,0,0,1.15,0,0,68.28,0,0,15.49,0,4.02
 60-70,0,0,0.98,47.11,7.85,0,468.19,1.96,7.85,70.67,5.89,0,3.93,6.87,0,1.96,1.96,0.98,0,152.14,0,6.87,31.41,285.62,5.89,2.94,10.8,0,2.94,8.83,0,0,1.96,0,0,21.59,0,0.98,10.8,1.96,2.94
 72-82,0,0,0.98,39.27,3.93,0,214.98,0.98,9.82,71.66,13.74,0,3.93,14.72,4.91,1.96,2.94,2.94,0,217.93,0,9.82,41.23,270.94,2.94,2.94,8.83,0,1.96,15.71,0,0,2.94,0,0,7.85,0,2.94,19.63,4.91,0
 84-94,0,0,1.06,69.03,37.17,2.12,223.03,1.06,9.56,77.53,26.55,0,0,18.05,10.62,3.19,3.19,4.25,1.06,144.44,2.12,16.99,40.36,244.27,3.19,4.25,6.37,0,0,22.3,0,0,3.19,0,0,8.5,4.25,3.19,23.36,0,0
 96-106,0,0,0,41.53,22.95,2.19,144.26,3.28,3.28,60.11,22.95,0,4.37,25.14,2.19,3.28,4.37,2.19,1.09,126.77,1.09,4.37,31.69,192.34,3.28,6.56,8.74,0,3.28,37.16,1.09,0,3.28,0,0,3.28,1.09,1.09,24.04,4.37,0
108-118,0,0,0.77,44.43,39.83,0.77,147.83,7.66,4.6,62.81,14.55,0,2.3,17.62,4.6,6.13,1.53,6.89,0.77,114.89,0,3.83,29.87,244.34,5.36,6.13,3.83,0,0,26.81,0,0,2.3,0,0,3.06,0.77,0.77,19.92,1.53,0
120,0,0,1.96,41.16,47.03,1.96,101.91,5.88,11.76,82.31,5.88,0,3.92,27.44,3.92,3.92,3.92,5.88,0,103.87,0,1.96,33.32,207.74,0,5.88,3.92,0,0,9.8,0,0,3.92,0,0,3.92,0,1.96,17.64,7.84,0
