stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mucous,mural.cell,neural,olfactory,periderm,somites,spinal.cord,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,2.3,0,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,3.93,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0,3.93,0,3.93,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,3.19,0,1.06,0,0,18.05,0,0,0
 96-106,0,0,3.28,0,1.09,0,0,0,1.09,0,1.09,2.19,0,2.19,2.19,16.39,0,1.09,1.09
108-118,0,0,1.53,0.77,0.77,0,0.77,0,1.53,0,0,0,0,1.53,0,9.96,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0
