stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,37.76,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,3,5,0,0,1,0,0,0,0,0,0,0,0,10,0,8,136,0,0,1,1,0,1,6,0,2,4,59,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,8.21,0,0,2.46,0,0,0,0,0.82,0,2.46,0,17.24,0,15.6,352.97,0,0,0.82,0,0,1.64,0,0,0,2.46,180.59,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,32.23,0,0,2.42,0,0,0,0,0,0.81,0.81,0,7.25,0.81,3.22,686.43,0,1.61,0,0,0,1.61,0,0,0,0,266.68,0,0,0,0
 48-58,0,0,0,0,1.15,0,73.45,0,1.72,13.2,0,0,0.57,0,0,0,0,0.57,13.77,0,1.15,405.68,0.57,0,0.57,0,0,0,0,0,0,0,238.7,0,1.15,0,1.15
 60-70,0,0,0.98,0,0.98,0,90.3,0,0,6.87,0,0,0,0,0,0,0,0,20.61,2.94,2.94,258.14,0.98,0,0,0,0,1.96,0,0,0,0,182.56,0.98,0,0,0.98
 72-82,0,0,0,0,2.94,1.96,70.68,0,2.94,3.93,0,0,0,0,0,0,0,0,21.6,2.94,4.91,200.26,0,0,0.98,0,0,0,0,0,0,0,62.83,1.96,0,0,0.98
 84-94,0,0,1.06,0,2.12,0,38.23,0,1.06,10.62,0,0,0,0,0,0,2.12,0,29.74,3.19,3.19,116.82,0,1.06,1.06,0,0,0,0,0,0,0,45.67,2.12,0,0,0
 96-106,0,0,0,0,3.28,1.09,36.06,0,1.09,5.46,1.09,0,0,1.09,1.09,0,0,0,48.09,3.28,5.46,114.75,0,0,1.09,0,1.09,0,0,0,0,0,6.56,2.19,0,0,0
108-118,0,0,0.77,0,0.77,0.77,30.64,0.77,0,10.72,0.77,0,0,0.77,0,0,0.77,0.77,21.45,0.77,8.43,147.06,0,0,0,0,0,1.53,0,0.77,0,0,12.26,0,0,0.77,0
120,0,0,0,0,1.96,0,35.28,0,0,11.76,1.96,0,0,3.92,0,0,0,0,17.64,0,3.92,148.94,0,0,0,0,0,1.96,0,0,0,0,21.56,0,0,0,0
