stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,0,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,13.14,0,2.63,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,1,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,12.31,0.82,0,1.64,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,13.7,0,0,2.42,0,1.61,0,0
 48-58,0,0,0,0.57,1.15,0,0,0,0,0,0.57,0,0,0,1.15,0.57,0,0,6.89,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0,15.7,0,0,0.98,0,2.94,0,0
 72-82,0,0,0,1.96,4.91,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,19.63,0,0,0,0,0,0,0.98
 84-94,0,0,0,3.19,3.19,0,0,0,0,0,4.25,0,0,0,1.06,0,0,0,9.56,0,0,3.19,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,1.09,2.19,0,1.09,0,0,1.09,0,0,14.21,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0.77,0.77,0,0.77,0,1.53,0,0,1.53,0,2.3,0,0,2.3,0,0,2.3,0,0,0,0.77
120,0,0,0,3.92,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0
