stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,7.39,0.82,0,0,0,0,0,1.64,0,0,0,0.82,0.82,0,0,2.46,9.85,0,0,0,0,0,0,0,105.89,0.82,0,0,2.46,0,0
 36-46,0,0,0.81,0.81,0,6.45,57.2,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,0,2.42,14.5,0,0,0.81,0,0,1.61,0,95.87,5.64,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,15.49,119.35,0.57,0,3.44,0,0,0,0.57,0,1.15,0,0.57,12.05,0,0.57,4.59,44.18,0,0,0,0,0,3.44,0,109.6,8.03,0,0,2.3,0,1.15
 60-70,0,0.98,2.94,0.98,0,17.67,112.88,0.98,0,2.94,0,0,0.98,0,0.98,0,0,0,6.87,0,0.98,5.89,28.46,0,0.98,0,0,0,2.94,0,53.98,3.93,0,8.83,0.98,0.98,0
 72-82,0,0.98,9.82,2.94,0,40.25,88.35,0.98,1.96,11.78,0.98,0.98,2.94,0,0.98,0,1.96,0,24.54,0,1.96,9.82,126.63,0.98,0.98,0.98,0,0.98,7.85,0,31.41,7.85,1.96,29.45,5.89,4.91,2.94
 84-94,0,0,6.37,9.56,0,41.42,168.86,1.06,4.25,7.43,0,0,3.19,3.19,0,0,2.12,0,18.05,2.12,2.12,4.25,62.66,0,0,2.12,0,0,15.93,2.12,61.6,4.25,1.06,33.99,3.19,3.19,3.19
 96-106,0,0,15.3,13.11,0,67.76,196.71,2.19,3.28,15.3,6.56,2.19,7.65,2.19,1.09,1.09,3.28,0,30.6,1.09,3.28,15.3,61.2,0,3.28,1.09,0,0,24.04,3.28,54.64,3.28,0,29.51,7.65,5.46,4.37
108-118,0,2.3,11.49,6.13,2.3,28.34,74.3,0.77,2.3,9.19,0.77,0.77,4.6,2.3,0.77,0.77,3.83,2.3,21.45,0,1.53,11.49,68.17,0.77,0.77,0.77,0,0,15.32,0,29.87,3.06,0.77,42.89,3.06,2.3,4.6
120,0,0,1.96,5.88,1.96,17.64,37.24,0,0,5.88,0,1.96,3.92,1.96,0,0,0,0,21.56,0,3.92,11.76,52.91,1.96,0,0,0,1.96,0,0,13.72,1.96,0,23.52,0,3.92,1.96
