stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,3,13,1,1,0,0,0,7,0,2,5,4,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,6.57,0,0,2.46,6.57,0.82,0,0,0,0,0,0,0,1.64,2.46,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,4.03,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,1.61,7.25,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,20.66,0,0,0,0.57,0,0,0,0,0,0,6.89,0,0.57,0,9.18,0,0,0.57,0,0,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,198.27,0,0,0,1.96,0.98,0,0,0,0,0,2.94,0,0,0.98,18.65,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0.98,0,5.89,0.98,0,671.46,0,0,1.96,31.41,0,0,0,0.98,0.98,0,14.72,0.98,0.98,0,74.61,0,0,0,0,0,0,0,0,0,3.93,1.96,1.96,0.98,0.98,0.98
 84-94,0,0,0,4.25,2.12,0,435.44,1.06,0,0,31.86,0,0,0,1.06,2.12,0,5.31,0,0,1.06,45.67,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,1.09,0,15.3,3.28,1.09,626.2,0,1.09,0,34.97,2.19,0,0,1.09,1.09,1.09,21.86,0,2.19,3.28,57.92,0,0,0,0,3.28,0,1.09,0,0,0,1.09,3.28,1.09,1.09,0
108-118,0,0,0,1.53,0.77,0,435.07,0,1.53,1.53,16.85,1.53,0,1.53,1.53,3.83,0,9.96,0,0,0,51.32,2.3,0.77,0.77,0,1.53,0,0,0,0,1.53,0.77,0.77,1.53,1.53,0
120,0,0,0,3.92,1.96,0,276.33,0,0,0,19.6,1.96,0,0,0,0,0,5.88,0,0,1.96,35.28,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,0,0
