stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,0,4.91,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,4.91,0,0.98,0.98,0.98,0,0.98,0,1.96,0,0,12.76,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,2.12,0,0,1.06,1.06,0,0,0,1.06,0,0,4.25,0,0,3.19,0,0,1.06,0,0,1.06
 96-106,0,1.09,0,0,3.28,0,0,0,0,0,0,0,3.28,0,0,1.09,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0.77,0.77,0.77,0,0,1.53,0,0,0,0.77,3.06,0.77,0,2.3,0,0.77,0.77,0.77,0,0,0,0,0
120,0,0,1.96,1.96,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,3.92,0,1.96,1.96,0,0,0,0,0,0
