stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,4,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,1.64,0,0,0,0,0,2.46,3.28,0,0.82,50.89,0,0.82,0,0,0.82,14.78,0,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,2.42,0,0,0,0,0,2.42,0.81,0,0,51.56,0,0,0,0.81,0,12.09,0,0,0
 48-58,0,0,0,0,0,0,0,11.48,0,4.59,0,0,0,0,0,0,1.72,0,0.57,41.89,0.57,0,0,0,0,12.05,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,38.28,0,7.85,0,0,0.98,0,0,0,1.96,0,0,28.46,0,0,0,0.98,0,8.83,0,0,0
 72-82,0,0,1.96,0,0,0,0,63.81,0.98,29.45,1.96,0,1.96,0,0,2.94,11.78,0,0,75.59,0.98,0,0,0,0,4.91,0.98,0,1.96
 84-94,0,0,0,0,2.12,0,1.06,16.99,0,18.05,0,0,0,0,0,6.37,4.25,1.06,1.06,29.74,0,0,0,0,3.19,5.31,0,1.06,1.06
 96-106,0,0,1.09,0,0,0,4.37,14.21,0,7.65,3.28,1.09,0,0,1.09,12.02,2.19,0,0,13.11,0,0,0,1.09,0,3.28,0,0,1.09
108-118,0,0,0.77,0,1.53,0.77,9.96,10.72,0,6.89,3.83,0,0.77,0.77,0,32.17,3.06,0,0,15.32,0.77,0.77,0.77,0.77,3.83,0.77,0.77,0,2.3
120,0,0,0,0,0,0,7.84,13.72,0,5.88,9.8,0,0,0,0,45.08,0,0,3.92,23.52,0,0,0,0,9.8,0,0,0,0
