stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,62.94,9.44,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,1,1,0,4,2,0,0,0,0,2,0,8,55,0,0,2,0,0,0,6,0,0,11,40,0,0,2,0,0
 24-34,0,0.82,3.28,0,1.64,1.64,4.93,0.82,0,0,0.82,0,9.03,0,4.93,116.56,0.82,0,0,0,0,0,0,1.64,0.82,3.28,79.62,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,5.64,0,0,0,0,0.81,7.25,0.81,4.83,131.32,0,0,0,0,0,0,0,0.81,0,0,71.7,0,0,1.61,0,0
 48-58,0,0,0.57,0,1.72,0,5.16,0,0,0,0.57,0,11.48,0,2.3,82.05,0,0,0,0.57,0,0,0,0,0,0,52.22,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0.98,18.65,2.94,1.96,64.78,0,0,0,0.98,0,0,0,1.96,0,0,22.58,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,4.91,0,0,0,0,0,23.56,1.96,3.93,59.88,0.98,0,0,0,0,0.98,0,0,0,0,12.76,0,0,1.96,0.98,0
 84-94,0,0,5.31,0,3.19,0,6.37,0,0,0,0,0,23.36,1.06,1.06,24.43,0,1.06,0,0,0,0,0,1.06,0,0,11.68,1.06,0,0,4.25,0
 96-106,0,0,3.28,1.09,1.09,0,6.56,1.09,1.09,0,0,0,21.86,2.19,2.19,15.3,0,0,0,2.19,0,0,0,0,0,0,5.46,1.09,2.19,0,1.09,1.09
108-118,0,0,1.53,0,3.83,0,2.3,0,0,0,0,0,19.15,0,1.53,32.17,0.77,0,0,0.77,0.77,0,0,0,0,0,2.3,0.77,0,0.77,0,0
120,0,0,1.96,0,0,0,0,1.96,1.96,0,1.96,0,11.76,0,1.96,15.68,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0
