stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,3.28,0,4.93,0,1.64,0,11.49,0,0,0,0,0,0,0,1.64,0,0,1.64,31.19,0,0,0,1.64,0.82,4.93,0,0,0.82,0,0
 36-46,0,0,0,7.25,0,0,0,19.34,0,0,0,0,0,0,0,2.42,0,0,0.81,23.36,1.61,0,0.81,0,0,10.47,0,0,0,0,2.42
 48-58,0,0.57,0,3.44,0,0.57,0,25.25,0,0.57,0,0,0,0,1.15,14.35,0,0,0.57,20.66,0.57,0,0,0,0,17.21,0,0,0,0,2.87
 60-70,0,0.98,0,40.24,0,0,0,62.82,1.96,0,0,0,0,0,0,50.06,0,2.94,0.98,24.54,0,0,0,1.96,0,23.56,0,0,0,0,0.98
 72-82,0,1.96,1.96,254.25,0,0,0,191.42,4.91,0,0,0.98,2.94,0.98,0.98,132.52,0,0.98,0,48.1,0,0,0,0,0,19.63,0.98,0,0,0,1.96
 84-94,0,1.06,0,213.47,0,0,1.06,107.27,15.93,0,0,0,3.19,0,1.06,65.85,0,2.12,0,40.36,2.12,0,0,1.06,0,12.74,0,1.06,0,1.06,8.5
 96-106,0,10.93,0,243.7,1.09,0,0,149.72,12.02,1.09,1.09,0,4.37,0,0,98.36,1.09,3.28,1.09,38.25,6.56,0,0,0,0,18.58,0,2.19,1.09,4.37,6.56
108-118,0.77,5.36,0,163.15,0,0,0.77,119.49,4.6,0,0,0,1.53,0,1.53,75.06,0,4.6,0,26.81,3.83,0.77,0,0,0,15.32,0,2.3,0.77,1.53,7.66
120,0,7.84,1.96,148.94,0,0,0,80.35,7.84,0,0,0,0,0,0,43.12,0,1.96,1.96,23.52,5.88,0,1.96,0,0,11.76,0,0,0,0,1.96
