stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,18.4,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,0,0,2,0,1,5,3,0,0,0,2,0,4,1,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,6.57,1.64,0,0,0.82,0,0,2.46,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,1.61,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,1.72,0,0,0,0.57,0,0,0.57,2.3,6.31,2.3,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,2.94,13.74,0.98,0,0.98,0.98,0,0,0,4.91,11.78,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0.98,40.25,0,0,0.98,0,0,0,0,12.76,28.47,0,0,0,3.93,0,0,0,0,0
 84-94,0,0,0,1.06,24.43,0,0,1.06,0,0,0,0,5.31,18.05,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,4.37,55.74,0,1.09,1.09,3.28,0,0,0,14.21,14.21,0,0,0,9.84,0,0,0,0,0
108-118,0,0,0,0.77,30.64,0,0.77,3.06,0.77,0,0.77,0,8.43,17.62,1.53,0,0,6.89,0,0.77,0,0,0
120,0,0,0,1.96,23.52,0,0,0,0,0,1.96,0,5.88,19.6,0,0,0,7.84,0,0,0,0,0
