stage,endoderm,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,3,0,0,0,1
 24-34,0,0,3.28,0,0,0,0,22.16,0,0,0.82,4.1
 36-46,0,0,4.03,1.61,0.81,2.42,0.81,25.78,0,0,0,2.42
 48-58,0,0,4.02,1.72,0,1.72,0.57,18.94,0,0,0,2.87
 60-70,0,0.98,6.87,0,0,1.96,0,6.87,0,0.98,0,1.96
 72-82,0,0.98,7.85,0,0,1.96,0,5.89,0,0,0,0.98
 84-94,0,0,4.25,0,0,1.06,0,6.37,0,0,0,1.06
 96-106,0,0,5.46,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,0,2.3,0,0,0.77,0
120,0,0,0,1.96,0,0,0,3.92,0,0,0,0
