stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,15,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,17.24,0,0,4.93,0,0,0,2.46,0.82,7.39,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,50.76,0,3.22,1.61,0,0,0,0.81,0,20.95,0,0
 48-58,0,0,0,0,0.57,0,0,5.74,1.15,0,0,0,0,0,0,1.15,0,0,79.19,0,4.59,1.72,0,0,0,1.15,0,13.2,0,0
 60-70,0,0,0.98,0,0,0,0,29.45,1.96,1.96,0,0,0,0,0,0.98,0,0,204.16,0,3.93,0.98,0,0,0,2.94,0,24.54,0,0
 72-82,0,0,12.76,0,0.98,0,0.98,45.16,6.87,23.56,0,0,0,0,0.98,3.93,0,0,328.86,0,6.87,2.94,0.98,0,0,0.98,0,22.58,0,0.98
 84-94,0,0,7.43,0,1.06,0,6.37,47.79,7.43,33.99,0,0,0,0,0,3.19,1.06,0,130.63,0,18.05,5.31,0,0,0,9.56,0,8.5,0,0
 96-106,0,0,9.84,0,0,1.09,3.28,37.16,5.46,31.69,0,0,0,0,4.37,3.28,0,1.09,146.44,0,12.02,3.28,0,2.19,0,1.09,0,2.19,1.09,1.09
108-118,0,0,11.49,2.3,1.53,0,6.89,36.77,9.19,31.4,0,0,0.77,0.77,2.3,0,0,0.77,157.02,0.77,11.49,3.83,0,0.77,0,5.36,0,6.13,0,0
120,0,0,3.92,0,1.96,0,1.96,33.32,3.92,39.2,0,1.96,0,1.96,3.92,0,0,0,197.94,0,15.68,1.96,0,1.96,1.96,3.92,0,15.68,0,1.96
