stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,1,0,1,0,1,8,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,26.27,0.82,0,0,0,0,0,0,0,13.13,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.23,0,0,0,0,0,0,0.81,0,20.14,0,0,0.81,0
 48-58,0,0,0,1.15,0,0,4.59,0.57,0,0,0,0,0,2.87,0,0.57,63.12,0,0,0,0,0,0,0.57,0,17.79,0,0,0,0
 60-70,0,0,0,0,0,0,7.85,0.98,1.96,0,0,0.98,0.98,12.76,0.98,0.98,117.78,0,0.98,0.98,0,0,0,0,0,14.72,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,18.65,1.96,3.93,0.98,0,0,0,1.96,0.98,1.96,156.08,0,0,0.98,0,0.98,0,0,0,14.72,0.98,1.96,1.96,0
 84-94,0,0,0,1.06,0,0,15.93,0,3.19,0,0,0,0,4.25,0,0,86.03,0,0,0,0,0,1.06,3.19,0,11.68,0,0,0,0
 96-106,0,0,0,1.09,0,0,17.49,0,3.28,0,0,0,1.09,4.37,0,2.19,100.54,0,0,0,0,1.09,0,0,0,5.46,2.19,0,1.09,0
108-118,0,0,0,0,0.77,0.77,13.79,0,4.6,1.53,0,0,0,3.06,0,0,111.06,0,0,0,0,3.06,0,0.77,0,0.77,3.83,0,0,0
120,0,1.96,1.96,1.96,0,0,27.44,0,7.84,0,0,0,0,0,0,0,148.94,0,0,1.96,0,1.96,0,0,0,7.84,0,0,0,1.96
