stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,39.43,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,25.18,0,0,6.29,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,12,10,0,2,0,0,0,0,0,0,2,0,0,0,0,0,22,0,35,53,7,0,0,2,0,0,27,11,97,501,29,0,0,7,0,0
 24-34,0,0,0,2.46,6.57,1.64,0,12.31,0,0.82,0,1.64,0.82,0,3.28,0,0.82,0,1.64,0,41.86,0,26.27,168.28,4.1,0,3.28,0,0,0.82,0.82,7.39,12.31,104.25,64.85,0,0,42.68,0,0
 36-46,0,0,0,0,8.06,0,0,8.06,0,0,1.61,2.42,0.81,0,3.22,0,4.03,0,1.61,0,56.4,2.42,17.72,249.76,1.61,0.81,1.61,0,0.81,3.22,0,2.42,0.81,0,59.62,0,0,24.17,0,0
 48-58,0,0,0,0,4.59,0,0,29.84,1.15,0.57,1.72,21.23,1.15,0,2.3,0,0.57,0.57,6.31,0,84.92,4.02,16.07,309.85,0.57,0,0.57,0,0,5.16,0,2.87,2.3,0,37.3,0,0,17.21,0,1.15
 60-70,0,0,0,0,3.93,0.98,0,42.21,0,2.94,0.98,44.17,1.96,0,0,0,0,4.91,6.87,0,116.8,3.93,7.85,418.13,0,0,0.98,0,1.96,11.78,0,1.96,0.98,0,44.17,0,1.96,13.74,1.96,0
 72-82,0,0,1.96,0,1.96,0,0,105.04,1.96,1.96,3.93,75.59,1.96,0,6.87,0,0.98,4.91,18.65,0,201.24,5.89,22.58,369.1,0.98,0,7.85,0,1.96,4.91,0,4.91,0,0,11.78,0,6.87,43.19,5.89,1.96
 84-94,0,0,0,0,5.31,0,1.06,87.09,2.12,1.06,3.19,32.92,0,0,3.19,1.06,2.12,10.62,10.62,1.06,118.95,4.25,21.24,184.79,1.06,0,2.12,0,1.06,25.49,0,1.06,0,0,11.68,0,1.06,42.48,9.56,0
 96-106,0,0,0,0,15.3,1.09,0,106.01,2.19,4.37,4.37,44.81,4.37,0,4.37,0,2.19,14.21,4.37,0,140.98,10.93,13.11,171.58,0,2.19,6.56,0,0,12.02,0,9.84,3.28,0,8.74,1.09,5.46,42.62,6.56,2.19
108-118,0,0,1.53,0,17.62,0,3.83,98.04,2.3,5.36,1.53,26.81,3.06,0,2.3,0,3.83,22.21,6.89,0,121.79,5.36,12.26,229.02,0,4.6,9.96,0,0,10.72,0,8.43,3.06,0,2.3,0,3.83,38.3,3.83,1.53
120,0,0,1.96,0,17.64,0,1.96,82.31,1.96,0,0,35.28,0,0,3.92,0,3.92,17.64,5.88,1.96,86.23,1.96,15.68,201.86,0,1.96,9.8,0,1.96,9.8,0,5.88,0,0,7.84,0,3.92,21.56,1.96,1.96
