stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,17,0,0,1,0,0,3,0,0,2,4,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0.82,30.37,0,0.82,0,0,0,0,0.82,0,0.82,7.39,0,0.82,0
 36-46,0,0,0,4.03,1.61,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,17.72,0,0,0,0,0,0,1.61,0.81,0,3.22,0,0,0
 48-58,0,0,0,8.61,2.87,0,1.72,0,0,0,0,0,0,0,2.3,0,0,0.57,17.79,0.57,0,0,0,0,0,0,0,0,4.59,0,0,0
 60-70,0,2.94,0,19.63,0,0,3.93,0,0,0,0,0.98,0,0,4.91,0,0,0.98,14.72,0,0,0.98,0,0,0,0,0.98,0,1.96,0.98,0,0
 72-82,0,0,0.98,9.82,1.96,0,8.83,0.98,0,0.98,0,0,0,0,5.89,0,0,0,20.61,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,5.31,0,0,1.06,1.06,0,0,1.06,0,0,0,1.06,0,0,0,12.74,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,7.65,2.19,0,0,0,0,0,4.37,0,0,2.19,0,1.09,1.09,0,8.74,0,0,0,0,0,0,0,1.09,0,2.19,1.09,1.09,1.09
108-118,0,0,3.06,3.06,1.53,0,3.06,0,0,0.77,1.53,0,1.53,0,1.53,0,0,0.77,10.72,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,1.96,1.96,11.76,5.88,0,1.96,0,1.96,0,1.96,0,0,0,3.92,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0,0
