stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,111,0,0,0,0,0,0,0,1,0,1,74,0,0,0
 24-34,0,0,0.82,2.46,0,7.39,0,0,0,1.64,0,0,0,0.82,0,0,15.6,7.39,0,2.46,687.88,0.82,0,0,0,0,3.28,0,0.82,0.82,0.82,314.39,3.28,0,0
 36-46,0,0,0,2.42,1.61,37.06,0,0.81,0.81,2.42,1.61,1.61,0,0,0,0,1.61,8.86,0,3.22,732.35,0,0.81,0.81,0,0,0,0.81,0,0,0,345.63,0.81,0,0
 48-58,0,0,0,1.72,0.57,111.89,0,0.57,0,9.18,0.57,0,0.57,0,0,0,2.87,11.48,0.57,2.3,408.55,0,1.15,0,0,0.57,0,0,0,0,0,145.75,1.15,0,0.57
 60-70,0,0,0,0.98,0.98,124.65,1.96,0,0,2.94,0.98,0,0,0,0,0,0.98,6.87,0.98,0,273.84,0,0,0,0,0,1.96,0,0,0,0,67.73,1.96,0,0
 72-82,0,2.94,0,2.94,1.96,97.18,0,0,0,5.89,0,0,0.98,0,0,0.98,0,4.91,0,0.98,189.46,0,0,0,0,0,0,0,0,0,0,35.34,0,0,0.98
 84-94,0,7.43,1.06,3.19,0,47.79,0,0,0,5.31,4.25,0,0,1.06,0,0,0,10.62,0,3.19,98.77,0,0,0,0,0,2.12,0,0,0,0,19.12,0,1.06,1.06
 96-106,0,5.46,0,1.09,1.09,37.16,0,0,0,5.46,5.46,1.09,0,0,1.09,0,0,7.65,0,0,90.71,0,1.09,0,0,0,1.09,0,0,0,0,9.84,0,0,0
108-118,0,2.3,0.77,1.53,1.53,45.19,0,0,0,6.89,6.13,0,0,0,0.77,0.77,2.3,3.83,0,0.77,99.58,0,0.77,0,0,0,1.53,0,0.77,0,0,2.3,0,0.77,0
120,0,1.96,0,0,0,29.4,0,0,0,7.84,3.92,0,1.96,0,0,0,0,5.88,1.96,0,105.83,0,0,0,0,0,1.96,0,0,0,0,11.76,0,0,0
