stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
 24-34,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,2.42,0,0,0
 48-58,0.57,0,0,0.57,0.57,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0
 60-70,5.89,0,0.98,0,0,1.96,1.96,0,0.98,0,0,0,0.98,0,0,3.93,0,0,0.98,0,0,0
 72-82,0.98,0,2.94,0,0,0.98,5.89,0,0,0,0.98,0,0,0,0.98,3.93,0,0,0.98,0,0,0
 84-94,2.12,0,0,0,0,0,3.19,1.06,2.12,0,0,1.06,0,0,0,1.06,0,0,10.62,0,0,0
 96-106,7.65,0,0,1.09,0,1.09,7.65,0,0,0,0,0,2.19,0,0,5.46,0,1.09,1.09,1.09,0,1.09
108-118,3.83,1.53,1.53,2.3,0.77,0,6.89,0,0.77,0.77,0,0,3.06,0,0,5.36,0,0,3.83,0,0,0
120,7.84,0,1.96,3.92,0,1.96,13.72,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0
