stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,4809.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2531.54,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,0,42.06,0,0,0,94.63,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,728.15,26.29,0,0,252.36,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,31.47,0,9.44,0,53.5,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,487.78,18.88,0,0,236.02,3.15,6.29,3.15,34.62,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,47,7,0,20,0,0,0,4,1,1,1,0,1,0,0,0,0,24,0,0,12,194,6,0,4,6,5,3,48,2,2,28,55,0,0,1,0,0
 24-34,0,0,0,4.1,14.78,1.64,0,38.58,0,1.64,0.82,8.21,0.82,0,0.82,0.82,1.64,0,0.82,0.82,0.82,37.76,0.82,0,11.49,339.01,1.64,0,5.75,0,16.42,0,0,1.64,0,8.21,68.95,0,0,9.03,0,0.82
 36-46,0,0,0,0,12.89,0,0,32.23,0.81,1.61,1.61,13.7,2.42,0,0.81,0.81,1.61,0,0.81,2.42,0,27.39,0,1.61,9.67,190.14,0.81,0,0.81,0,10.47,1.61,0,0.81,0,0,34.64,0,0,4.03,0,0
 48-58,0,0,0.57,0,4.02,1.15,0,30.99,0,1.15,1.72,21.23,1.15,0.57,0,2.3,0.57,0.57,1.72,0,0.57,43.04,2.3,1.72,7.46,72.87,0,1.72,2.3,0,4.59,0,0,1.15,0.57,0,20.66,0,0,2.3,0,0.57
 60-70,0,0,0,0,16.69,2.94,0,20.61,0.98,1.96,4.91,15.7,0,0,1.96,0.98,2.94,0.98,0.98,0.98,0,49.08,0.98,2.94,5.89,33.37,0.98,0,1.96,0,7.85,0,0,1.96,0.98,0,4.91,0,0.98,1.96,0.98,0
 72-82,0,0,0.98,0,7.85,1.96,0,23.56,0,2.94,2.94,21.6,4.91,0,0.98,5.89,1.96,0,0.98,0.98,0,82.46,1.96,4.91,11.78,32.39,0,0.98,5.89,0,8.83,0,0,0.98,0,0,5.89,0,1.96,12.76,1.96,2.94
 84-94,0,0,1.06,0,24.43,6.37,0,21.24,3.19,2.12,7.43,15.93,3.19,1.06,1.06,5.31,3.19,2.12,2.12,1.06,0,62.66,2.12,2.12,6.37,31.86,2.12,1.06,5.31,0,29.74,0,0,1.06,1.06,0,1.06,1.06,2.12,7.43,2.12,2.12
 96-106,0,0,1.09,0,25.14,4.37,0,20.76,0,2.19,1.09,15.3,8.74,0,0,10.93,4.37,1.09,2.19,2.19,1.09,41.53,4.37,2.19,5.46,45.9,1.09,3.28,9.84,0,12.02,0,0,1.09,0,0,0,0,0,8.74,4.37,2.19
108-118,0,0,0,0,37.53,6.89,1.53,23.74,1.53,6.13,4.6,26.04,10.72,0,0.77,12.26,3.06,0,2.3,3.06,0,68.94,2.3,3.06,15.32,53.62,2.3,5.36,5.36,0,18.38,0.77,0,1.53,2.3,0,1.53,1.53,0,12.26,0.77,0
120,0,0,0,0,58.79,25.48,0,29.4,1.96,5.88,1.96,19.6,11.76,0,0,9.8,3.92,0,1.96,0,0,84.27,5.88,1.96,7.84,56.83,7.84,5.88,3.92,0,41.16,0,0,3.92,0,0,1.96,0,0,17.64,0,0
