stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,125,0,2,1,0,0,0,0,0,0,94,0,0,0,0,0
 24-34,0,1.64,4.1,0,0,7.39,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0.82,0,0,0,857.79,0.82,21.34,3.28,0,0,1.64,0,0,0,269.24,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,49.95,0,0,0,27.39,0,0,0,0.81,0,0,0,0.81,0,4.83,0,0,1.61,2126.16,0.81,30.62,5.64,0,0,0.81,0,0,0.81,491.46,0,0,0,0,0
 48-58,0,0,5.74,1.15,0,197.96,0.57,0.57,0,75.17,0,1.72,0,0,0,0,0,0.57,0,26.97,0,1.15,3.44,2354.32,1.15,12.62,2.87,0,0,3.44,0,0,0.57,511.26,0,0.57,0,0,4.59
 60-70,0,0.98,4.91,0,0,356.29,0,0.98,0.98,123.67,0,0.98,0,0.98,0,2.94,0,0,0.98,18.65,0.98,0,0,3108.48,0.98,14.72,0,0,0,3.93,0,0,0,570.26,0,0,1.96,0,2.94
 72-82,0,2.94,11.78,4.91,0,374.99,0,0.98,3.93,118.78,0.98,2.94,0.98,0,1.96,0,0,1.96,0,36.32,1.96,3.93,0.98,1832.76,0,18.65,0.98,0,0,1.96,0,0,0,239.53,0.98,1.96,1.96,0.98,2.94
 84-94,0,2.12,18.05,2.12,0,243.21,0,0,1.06,75.4,1.06,1.06,0,1.06,0,0,0,1.06,0,21.24,0,1.06,2.12,881.49,0,14.87,4.25,0,0,3.19,0,0,0,124.26,1.06,2.12,1.06,0,2.12
 96-106,0,0,10.93,4.37,0,186.88,1.09,2.19,0,77.59,2.19,0,0,1.09,0,0,1.09,2.19,0,21.86,0,0,1.09,730.02,0,13.11,2.19,0,0,4.37,1.09,0,1.09,53.55,0,2.19,1.09,0,0
108-118,0,1.53,10.72,1.53,0.77,137.11,0,0,1.53,73.53,2.3,0,0,0.77,0,0.77,0,0.77,0,12.26,0,1.53,1.53,792.77,0.77,12.26,0.77,0,0.77,2.3,0,0,0,28.34,0,0,0.77,0,0
120,0,0,5.88,1.96,1.96,143.06,1.96,0,0,86.23,0,0,0,5.88,0,0,0,0,0,25.48,3.92,0,1.96,972.05,0,27.44,0,0,0,1.96,0,1.96,0,39.2,0,0,0,0,0
