stage,blastomeres,epidermis,eye,gut,immune,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pgc,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,1.15,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,1.96,0.98,0,0.98,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,1.06,7.43,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,5.46,16.39,0,1.09,1.09,3.28,1.09,0,3.28,0,0
108-118,0,1.53,0.77,7.66,6.89,0.77,0.77,0,4.6,0,0,2.3,0,0.77
120,0,1.96,0,3.92,7.84,0,0,0,3.92,1.96,0,5.88,0,0
