stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0
  5-6,55.17,563.93,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,73,1,0,0,0,0,0,1,1,0,1,56,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,8.21,0,0,0,0,0,0,0,2.46,0,0,0,0,0,3.28,0,0,0,252.82,0.82,2.46,5.75,0,0,0.82,0.82,0.82,0,0,98.5,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,8.06,0,0,0,5.64,0,0,0,1.61,0,0,0,0.81,0,4.03,0,0,2.42,451.98,0,4.03,1.61,0,0,2.42,0,0,0,0,149.85,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,56.81,0,0.57,0,6.31,0,0,1.15,2.87,0,0,1.15,0,0.57,10.33,0,0,1.15,623.15,0,3.44,6.89,0,0,0.57,0,1.15,0.57,0,128.53,0,0,0,1.15
 60-70,0,0,0,1.96,0,0,196.3,0,0,0.98,15.7,0.98,0,0,0.98,0,0.98,5.89,0,0,8.83,0,0,0.98,1144.45,0,1.96,16.69,0,0,1.96,0,0,0,0,186.49,0,0,0,1.96
 72-82,0,0,2.94,9.82,3.93,0,369.1,0,0.98,0.98,28.47,0,0,0,6.87,0,0.98,17.67,0,0.98,30.43,0.98,0.98,2.94,1297.76,0.98,13.74,37.3,0,0,1.96,0,0.98,0,0,147.25,0,1.96,0,0
 84-94,0,0,2.12,5.31,1.06,0,230.46,0,1.06,2.12,28.68,1.06,0,0,5.31,0,1.06,11.68,0,0,21.24,0,1.06,0,653.15,0,9.56,43.54,0,0,4.25,0,2.12,0,0,75.4,1.06,1.06,0,1.06
 96-106,0,0,3.28,5.46,6.56,0,198.9,1.09,1.09,1.09,61.2,0,0,0,4.37,0,3.28,34.97,0,0,18.58,0,1.09,2.19,621.83,0,12.02,56.83,0,0,8.74,1.09,2.19,0,0,44.81,1.09,2.19,1.09,0
108-118,0,0,1.53,9.96,2.3,0.77,151.66,0,0,0,39.06,1.53,0,0,4.6,1.53,0,15.32,0.77,0,10.72,0.77,1.53,2.3,723.84,0,9.19,37.53,0,0,0.77,0,4.6,0.77,0,34.47,1.53,1.53,0,0.77
120,0,0,0,11.76,1.96,0,143.06,0,0,0,62.71,3.92,0,0,7.84,0,0,17.64,0,0,11.76,0,1.96,0,817.23,1.96,3.92,47.03,0,1.96,5.88,0,1.96,0,0,58.79,0,0,0,0
