stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,100.7,0,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,8,0,22,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,1,71,0,0,1,0,0,0,1,4,0,3,20,0,0,0,1
 24-34,0,0,0,2.46,2.46,0,80.44,0,0.82,0.82,0,0,0,0,0,0,0,3.28,4.1,3.28,0,0,0.82,82.09,0.82,0.82,0,0,0,1.64,0,0,2.46,0,9.85,0,1.64,0,1.64
 36-46,0,0,0.81,0.81,0.81,0,46.73,0,0,2.42,0,0,0,0,0,0,0,0.81,0.81,3.22,0,0,0.81,66.06,0,0,0.81,0,0,0,0,0,2.42,0,10.47,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,43.61,0,2.3,14.35,1.15,0,0.57,0,0,0.57,0,1.15,1.15,6.31,0,0,0,100.42,0.57,0.57,0,0,0,0,0,0,2.3,0,10.9,0.57,0.57,0,3.44
 60-70,0,0,0,2.94,0.98,0,44.17,0,0,25.52,0,0,0,0,0,1.96,0,0.98,0.98,23.56,0,0,2.94,124.65,0,0.98,0,0,0,0.98,0,0,11.78,0,15.7,0.98,0,0,1.96
 72-82,0,0,2.94,2.94,0,0,83.44,0.98,1.96,58.9,4.91,0,0.98,2.94,0,0.98,0.98,0.98,0,50.06,0,2.94,2.94,186.52,0.98,5.89,0.98,0,1.96,0.98,0,0,5.89,0,13.74,1.96,0.98,1.96,0.98
 84-94,0,0,3.19,4.25,3.19,0,54.16,2.12,1.06,40.36,4.25,0,1.06,2.12,0,1.06,0,2.12,3.19,36.11,0,4.25,0,82.84,0,2.12,0,0,0,1.06,0,0,8.5,0,5.31,3.19,1.06,0,1.06
 96-106,0,0,1.09,6.56,5.46,0,45.9,1.09,3.28,54.64,1.09,0,3.28,2.19,1.09,1.09,0,1.09,0,49.18,1.09,2.19,3.28,95.08,0,3.28,2.19,0,0,2.19,0,0,8.74,0,9.84,2.19,3.28,4.37,2.19
108-118,0,0,0,18.38,6.89,0.77,32.17,2.3,3.06,62.81,0,0,0,3.06,0.77,5.36,1.53,1.53,3.06,41.36,0,0.77,9.96,113.36,0,0.77,2.3,0,0,0,0,0,1.53,0,7.66,1.53,1.53,1.53,2.3
120,0,0,1.96,29.4,11.76,0,33.32,1.96,1.96,64.67,1.96,0,1.96,0,0,0,1.96,0,1.96,35.28,0,5.88,9.8,123.47,0,5.88,3.92,0,0,0,0,0,0,0,5.88,1.96,5.88,3.92,3.92
