stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,66,37,2,0,2,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,2.46,0,1.64,8.21,1.64,3.28,0.82,0,0,11.49,1.64,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,1.61,22.56,0.81,8.06,0,0,0,1.61,0,1.61,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0.57,1.72,0,1.15,0,0.57,22.38,0,2.3,0,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0.98,1.96,0.98,0,1.96,0,0,22.58,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,1.96,0,0.98,0,0,41.23,0.98,0,0.98,0,1.96,51.05,0.98,4.91,0,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,0,6.37,0,2.12,0,1.06,0,0,84.96,0,1.06,1.06,0,1.06,48.85,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,9.84,0,3.28,0,4.37,0,1.09,194.53,0,0,3.28,2.19,7.65,59.01,0,13.11,0,0,1.09,0,0,0,4.37,1.09,1.09
108-118,0,0,0,10.72,0,3.06,0.77,0.77,0.77,0,232.09,0,0,0.77,0,2.3,36.77,0,4.6,0,0,0,0,0,0.77,13.02,1.53,0
120,0,0,0,11.76,0,0,0,0,0,0,127.39,0,0,0,0,0,41.16,0,7.84,0,0,0,0,0,0,5.88,0,0
