stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,4,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,24.63,0,0,0,0,1.64,0.82,65.67,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0.81,54.79,0,0,0,0,0,0,89.43,0,0,0
 48-58,0,0,0,0.57,2.87,0,1.15,0,0,0,0.57,10.33,0,1.72,61.4,0,0.57,0,0,0.57,0,49.92,0,0,0
 60-70,0,0,0,0,1.96,0.98,0.98,0,0,0,0,13.74,0,0,80.48,0,0,0.98,0,0.98,0,27.48,0,0,0
 72-82,0,0.98,0,0,8.83,0,5.89,0.98,0,0,0,30.43,0,3.93,109.95,0,0,0,0,0,0,23.56,0,0,0.98
 84-94,0,0,0,2.12,10.62,1.06,3.19,1.06,0,0,0,15.93,1.06,0,46.73,1.06,0,1.06,0,1.06,0,14.87,1.06,0,0
 96-106,0,0,0,1.09,4.37,0,4.37,0,0,0,0,27.32,0,0,52.46,0,0,1.09,0,0,0,10.93,1.09,1.09,0
108-118,0,0,0,1.53,3.83,0,2.3,0,0.77,0.77,0,16.09,0,0,64.34,0,0,3.06,0,0,0,3.83,0,0,0
120,0,0,0,1.96,5.88,0,1.96,0,0,1.96,0,17.64,0,1.96,70.55,1.96,0,0,0,0,0,7.84,0,0,0
