stage,blastomeres,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,1,0,1,4,0,0,2,0,2,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,1.64,0,0.82,7.39,0.82,0,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0,1.61,0,0,0,2.42,0,0.81,3.22,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0.57,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,0,0,1.06,0,0,0,2.12,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,0,0,1.09,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0.77,1.53,0.77,0,3.06,0,0.77,0.77,3.83,0.77,1.53,1.53,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
