stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,2,0,0,0,5,13,2,35,0,0,0,0,0
 24-34,0,0,28.73,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0.82,0,1.64,0.82,19.7,0,0,9.85,48.43,0,18.06,0,0,0,0.82,1.64,0.82,60.74,0,0,0,0,0
 36-46,0,0,17.72,0,0,1.61,2.42,0.81,0,3.22,1.61,0,0.81,0,0,0,1.61,0.81,37.06,0,0,6.45,60.43,0,0.81,0,0,0,0,0,0,56.4,0,0,0,0,0
 48-58,0,0,22.95,0,0,4.59,6.89,0,0.57,5.74,1.15,0,0,0,0,0,1.15,1.15,68.28,1.15,2.3,4.02,39.02,0.57,2.3,0,0,1.72,0,0,0,25.82,0,0.57,0,0,0.57
 60-70,0.98,0,15.7,0,0,6.87,3.93,0,0,17.67,0.98,0,0,0,0.98,1.96,0,0.98,132.51,0,4.91,2.94,45.15,0,1.96,0,0,1.96,0.98,0,0,17.67,0,0.98,0,0,0
 72-82,0,0,22.58,0,0,24.54,3.93,0.98,2.94,40.25,0.98,0,0,0,0,4.91,0,0,238.54,0,8.83,14.72,58.9,0,6.87,0,0.98,19.63,0,0,0,8.83,0,5.89,0,5.89,0
 84-94,0,3.19,18.05,0,0,25.49,5.31,0,0,15.93,3.19,0,0,0,0,1.06,0,0,139.13,0,6.37,9.56,22.3,0,10.62,0,0,9.56,0,1.06,0,3.19,0,4.25,0,6.37,0
 96-106,1.09,1.09,33.88,3.28,1.09,17.49,4.37,0,0,15.3,1.09,0,0,2.19,0,0,2.19,0,150.81,0,2.19,10.93,46.99,1.09,22.95,0,0,42.62,1.09,0,0,2.19,1.09,0,1.09,13.11,1.09
108-118,0,2.3,30.64,0.77,0,22.21,9.19,0.77,0.77,21.45,2.3,0,0.77,0,0,2.3,2.3,0,134.81,0,6.13,9.96,39.83,0,17.62,0,0,29.87,0,0,0,0,0.77,3.83,0.77,5.36,0
120,0,3.92,27.44,0,0,19.6,5.88,0,0,13.72,1.96,0,0,0,0,0,0,1.96,94.07,0,1.96,3.92,17.64,0,11.76,0,0,17.64,3.92,0,0,1.96,0,1.96,1.96,3.92,0
