stage,axial,blastomeres,epidermis,eye,gut,liver,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,taste,vascular.smooth.muscle
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,3.93,0,0,0,0
 72-82,0,0,4.91,0,0.98,0,2.94,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,1.06,0,0,4.25,0,3.19,0,0,0,0
 96-106,0,0,9.84,1.09,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,3.83,0,1.53,0.77,0.77,0.77,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0
