stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,7.89,0,0,52.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,44.06,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,0,4,0,0,1,0,0,0,0,0,13,0,5,0,0,4,17,0,0,2,0,0,7,5,3,39,8,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,15.6,0.82,1.64,0,0,0,0,0,0,3.28,0.82,4.93,0,0,4.93,23.8,4.1,1.64,0,0,0.82,0,0,0,9.85,11.49,0,0,0
 36-46,0,0,0,0,0,0,0,16.11,2.42,1.61,0,0,0,0,0,0,0,2.42,1.61,0,0,1.61,24.17,2.42,0,0.81,0,0.81,0,0,0.81,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,0,13.2,7.46,1.72,0,0,0.57,0.57,0.57,0,0,1.15,5.74,0.57,0,0.57,16.64,6.89,0,0.57,0,0,0,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,0,0,30.43,0.98,0,0.98,0,0,2.94,2.94,0,0,0.98,5.89,0,0,2.94,4.91,7.85,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,32.39,2.94,2.94,1.96,0,0,1.96,1.96,0,0.98,0,9.82,0,0.98,3.93,38.28,3.93,0.98,0.98,0,0,0,0,0,0,3.93,0.98,0,0
 84-94,0,0,0,0,1.06,0,1.06,30.8,3.19,3.19,0,0,0,4.25,4.25,0,0,0,2.12,0,0,0,7.43,5.31,0,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,0,24.04,3.28,2.19,3.28,0,0,6.56,3.28,0,0,0,1.09,0,0,2.19,15.3,4.37,0,0,0,1.09,0,1.09,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,26.81,2.3,0.77,0.77,0,0,0.77,9.19,0,0.77,0,5.36,0,0,2.3,12.26,14.55,0,0,0,0.77,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,0,25.48,5.88,0,3.92,0,0,0,7.84,1.96,0,0,0,0,0,1.96,5.88,13.72,0,0,0,0,0,0,0,0,0,0,0,0
