stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,17,1,0,4,0,0,0,1,3,0,3,0,1,0,0,1,9,1,0,4,24,2,0,0,0,0,1,5,1,57,149,2,0,0,2,0,1
 24-34,0,0,0,0,9.03,6.57,0,0,0.82,0,0.82,0,5.75,11.49,0,0.82,1.64,2.46,0,0,5.75,22.98,0,0,0,0,2.46,0,0,1.64,9.85,37.76,4.1,0,0,0,0,0
 36-46,0,0.81,0,0,4.83,30.62,0,0,0.81,0,0,0,7.25,8.06,0,0.81,0,0,0.81,0,1.61,17.72,0,0,0,0,1.61,0,0,0,7.25,2.42,0.81,0,0,0,0,0
 48-58,0,0,0,0,14.35,14.92,0,0.57,2.3,0,0,0,9.75,4.59,0,1.15,0,2.87,0.57,0,4.02,18.94,0,0,0,0,0.57,0,0,0.57,9.75,0,2.87,0,0,0.57,0,1.72
 60-70,0,0.98,0.98,0,9.82,18.65,0,0,0.98,0.98,0,0.98,22.58,4.91,0.98,1.96,0,16.69,0,0,1.96,13.74,0,0,0,0,0,0,0,5.89,7.85,0,0,0,0,0,0,0
 72-82,0,1.96,0,2.94,14.72,12.76,0,0.98,5.89,0,0,0,22.58,9.82,0,14.72,0,52.03,0,0,1.96,8.83,0,0,0,1.96,1.96,0,0,19.63,7.85,0,2.94,0,0.98,0.98,0,0
 84-94,0,3.19,2.12,5.31,18.05,14.87,0,1.06,1.06,0,0,0,27.61,12.74,2.12,22.3,0,33.99,0,0,1.06,5.31,0,0,0,0,4.25,0,0,22.3,12.74,0,1.06,0,1.06,1.06,2.12,0
 96-106,0,7.65,3.28,14.21,18.58,15.3,1.09,0,2.19,1.09,0,1.09,33.88,18.58,1.09,54.64,0,56.83,0,1.09,3.28,16.39,1.09,0,0,3.28,4.37,0,0,39.34,9.84,0,1.09,1.09,0,4.37,0,1.09
108-118,0,1.53,2.3,19.15,9.96,16.85,0.77,0,3.83,0.77,0,0,19.92,18.38,2.3,44.43,0,24.51,0.77,0,5.36,19.92,0,1.53,0,2.3,1.53,0,0,26.04,9.96,0,0,0.77,0,0.77,0,0
120,0,3.92,1.96,5.88,5.88,3.92,0,0,3.92,0,0,0,33.32,9.8,0,23.52,0,17.64,0,0,7.84,7.84,0,0,0,0,0,0,0,13.72,3.92,0,0,0,0,0,1.96,1.96
